,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
1,-0.981425654,-0.988900799,-0.992084851,-0.993450378,-0.994362001,-0.994219775,-0.994883564,-0.995918575,-0.996768352,-0.997219383,-0.99694243,-0.997239845,-0.997604933,-0.997649181,-0.997883547,-0.998098338,-0.998222124,-0.99796756,-0.997942282,-0.997308405,-0.997327548,-0.99697282,-0.997171948,-0.997233062,-0.997431989,-0.997179994,-0.997369576,-0.99726752,-0.997564712,-0.997635966,-0.99681107,-0.997214983,-0.997560042,-0.997220552,-0.996933804,-0.996831887,-0.996977692,-0.996669686,-0.996218701,-0.996057941,-0.996658238,-0.997132106,-0.996447774,-0.996454242,-0.995509802,-0.995614859,-0.995380153,-0.994992128,-0.99515211,-0.994638611
2,0.09590604,0.10006525,0.137332097,0.003080641,-0.149829406,-0.381040352,-0.456313405,-0.425405413,-0.321307473,-0.043824553,-0.043097447,0.187164267,0.219529622,0.296430993,0.612061402,0.843104662,0.890053129,0.759521441,0.809086354,0.217613202,0.257957138,0.055310158,0.080499282,0.309828199,0.787789671,0.391863641,0.273785432,0.20503319,0.183762245,0.361654074,0.165741411,0.136814597,0.352623376,0.229446197,-0.069625896,-0.060453643,-0.030183707,0.098736535,-0.047738396,-0.076066274,0.077056836,0.217301663,-0.064590889,0.069263793,-0.154670302,-0.169640146,-0.149004295,-0.057503466,0.142806625,-0.008101532
3,0.094307791,-0.287054101,-0.261051235,-0.111193549,0.06017159,0.211869697,0.214796618,0.45269288,0.740083799,0.59071797,0.650537441,0.170693017,0.634296414,0.592918669,0.46951784,0.396573039,0.835243395,0.430081674,0.077835383,0.418305018,0.172246292,0.173069129,0.271546775,0.019778358,-0.026287821,-0.03656718,0.307724229,0.126615135,0.317465337,0.536283243,0.382654116,0.575240954,0.278134975,0.13895042,0.570927503,1.46144525,2.271036497,2.106600945,2.810315296,2.512896634,1.990862606,2.970155904,3.2200655,3.351114459,2.887213425,1.950614084,1.801287609,2.131508219,1.704507114,2.31738786
4,-0.043351228,0.269644787,0.266296162,0.185280738,0.150892199,0.090258334,0.460862229,0.482169777,0.424364236,0.13973625,0.172891122,0.027300258,-0.069473635,-0.069907209,-0.242960314,-0.040994882,-0.164426354,0.201774388,0.681663311,0.178629565,0.573281256,1.346099223,1.145431724,1.307290055,1.681263731,1.579235262,1.234554564,2.207881468,3.113606129,2.498605836,2.341780351,2.550122962,4.278894506,4.726397356,3.841497313,1.598059351,0.975589436,0.943400621,0.593443535,0.832821421,1.024060762,0.802476224,1.18773567,1.315321481,1.403470925,2.030694382,1.815892709,1.225574845,1.338207028,0.765998714
5,-0.220908544,-0.208122874,-0.269774329,-0.25661693,-0.273696043,-0.312556065,-0.392191411,-0.302389101,-0.329669772,-0.293678567,-0.355708677,-0.061272303,0.206342004,0.230310371,0.39756993,0.537707347,-0.01461275,-0.236288346,-0.100569528,-0.145225006,-0.171609572,-0.244660369,-0.187511155,-0.344152303,-0.608659899,-0.379564532,-0.353255666,-0.435699268,-0.567276536,-0.600776189,-0.49321626,-0.349151463,-0.46484282,-0.431789997,-0.549610188,-0.506392392,-0.583756011,-0.6069765,-0.514904455,-0.582734963,-0.581719933,-0.549629335,-0.641794235,-0.720772301,-0.648736595,-0.626778141,-0.584244529,-0.690625533,-0.676779234,-0.541970629
6,0.182020502,0.069581559,0.022681899,0.096927882,0.060700993,0.159993918,0.151701954,0.138736277,0.052459649,0.300950106,-0.031401832,-0.145476351,-0.260296254,-0.359032482,-0.293408579,-0.470183191,-0.233224363,-0.062950706,-0.325884513,0.021938339,-0.226715702,-0.467427618,-0.482577405,-0.343826808,-0.240044718,-0.295964309,-0.380995382,-0.53255497,-0.57502745,-0.606705376,-0.742997939,-0.868525091,-0.848158627,-0.831385596,-0.731889558,-0.780664069,-0.764866603,-0.768562714,-0.794968303,-0.744004876,-0.718949165,-0.822172297,-0.844049268,-0.860933048,-0.902551617,-0.915741252,-0.926641704,-0.905014527,-0.920953465,-0.950016646
7,0.221082897,0.656779622,0.835401735,0.659217642,0.683511857,0.767756602,0.742018517,0.49337525,0.63273628,0.285557985,0.747194067,0.736677129,0.355360716,0.470619016,0.401969903,0.446051319,0.211232531,0.166590009,0.234999931,0.021895536,0.235808264,0.23992984,0.203049735,-0.088588945,-0.215592906,-0.353167276,-0.260170798,-0.19845816,-0.216504968,-0.252476558,-0.109043092,0.420303949,0.220626199,0.386054661,0.293535605,0.539004715,1.021391697,0.877094591,0.771233538,0.975687853,0.793506387,1.363432033,1.830283673,2.511676216,2.878527905,3.192396781,3.81036724,5.103171172,5.120171699,6.760198049
8,-0.178803505,-0.330836179,-0.401933846,-0.540250763,-0.410119696,-0.470749649,-0.46057506,-0.503741724,-0.667044075,-0.649735974,-0.611508265,-0.56369883,-0.510986766,-0.47122814,-0.570294547,-0.675985212,-0.600749107,-0.581465662,-0.506136433,-0.352323856,-0.397777334,-0.262119134,-0.304017555,-0.072409361,0.179582316,-0.058705329,0.078766398,0.040144485,0.106947237,0.335136461,0.239271063,0.230674322,0.09189954,-0.078109667,-0.024808059,0.026182627,-0.058631526,0.026390039,-0.161331799,-0.307380559,-0.348613077,-0.428010633,-0.353564347,-0.331950783,-0.321089631,-0.281081325,-0.15356126,-0.24705532,-0.195476638,-0.196945712
9,-0.107268967,-0.369040182,-0.384351707,0.063191954,-0.092126326,-0.090598407,-0.238831479,-0.236813665,0.198394603,0.413451289,0.073546646,0.073165675,-0.123270842,-0.046671035,-0.011070368,0.07701623,-0.055450403,-0.095280366,-0.270643393,-0.232285438,-0.116149392,-0.366364556,-0.304638676,-0.421648318,-0.445031219,-0.267626227,-0.227979408,-0.144306773,-0.243531207,-0.032463137,0.496605428,0.66232576,1.326332747,1.053660557,0.771936907,1.235236836,1.076599249,1.170363877,1.377783138,1.061007661,1.30053729,2.316860666,2.452954261,1.880100489,1.802976514,1.311135638,0.731462603,0.741403659,1.233520084,1.335928992
10,0.157203762,0.629313512,0.813973476,0.373885987,0.473799787,0.891921272,1.486865966,2.314751406,2.227239807,2.257816365,2.21173021,2.67162222,2.880324268,1.518237705,1.951868787,2.14190953,3.003178392,2.069950796,1.940996947,1.543488254,1.133194805,2.165255766,2.425456704,2.771243066,3.031211583,1.975655794,1.432417705,2.413752549,2.552938274,1.75179944,0.943575688,1.045157956,1.426927765,2.27504157,2.29613429,1.681228904,1.420638434,1.608317281,2.583302669,2.49917914,2.764608021,2.07760913,2.076039441,2.988143818,3.198913585,5.728714848,7.26637576,6.414885046,6.238526582,4.920567351
11,0.16177568,0.131777859,-0.126362325,-0.210655114,-0.268004578,-0.571644545,-0.622241309,-0.765885646,-0.782408439,-0.835445368,-0.837551098,-0.871001106,-0.87944857,-0.845557789,-0.818856648,-0.83627425,-0.885565608,-0.912711044,-0.91079003,-0.911527467,-0.926697452,-0.915525938,-0.931729447,-0.931490788,-0.931863687,-0.912640291,-0.922976918,-0.907454943,-0.873661416,-0.889518729,-0.874785436,-0.882467138,-0.914294079,-0.928300825,-0.93438753,-0.92344335,-0.899397628,-0.933479408,-0.945127137,-0.946986623,-0.947342843,-0.964103286,-0.965365824,-0.974022071,-0.967451772,-0.972763138,-0.971322719,-0.976353045,-0.980797153,-0.981387803
12,-0.22605637,-0.25824296,0.089063627,0.061137916,0.186014426,0.620061607,0.474680608,0.886196365,0.649821602,0.593266637,0.584791378,1.194447401,1.422799689,1.42108001,1.467786682,1.804166937,1.922748046,3.420212396,3.41979357,2.091774941,3.015429203,1.67382593,2.458828223,3.012303385,2.02971761,1.818194473,2.165651278,0.739163479,0.749873436,0.853975511,0.493579441,-0.01539241,0.166201719,-0.14961964,0.142560604,-0.097944507,-0.290968882,-0.156598674,-0.289718074,-0.065153339,-0.048654348,0.079266247,-0.116316981,-0.035820354,-0.102792503,0.007074731,-0.2353652,-0.144429492,-0.121441946,-0.041396348
