Large Cap,Mid Cap,Small Cap,International Developed,Emerging Markets,US Agg Bond,US High Yield,US Treasury,Corporate,Gold,Oil,Private Equity,Venture Capital,Angel Venture,Cash
0.0,0.0,9.606176464189473e-15,0.0,0.0,4.913946840929169e-16,0.0,1.7978356058221986e-15,0.0,2.717539152272945e-17,4.3727727196675416e-16,1.8318679906315083e-15,0.9999999999998685,1.211792253851607e-13,3.0355444023343605e-15
1.0774177322597245e-16,1.8534430804451596e-16,0.0,0.0,0.0,8.854613099559762e-17,5.921930343302105e-17,7.415873393941239e-17,6.675766699832425e-17,1.6925652867494752e-18,3.8030286619075326e-17,0.0,1.0,1.3172109774704997e-15,4.0259377153276454e-17
1.2053392611131124e-16,1.5802256100834438e-16,0.0,7.094337776396496e-17,0.0,2.816459662277654e-17,1.3802653996765109e-17,1.6909812857079932e-17,0.0,0.0,2.041085035342751e-17,0.25234900744491096,0.7476509925550887,6.225406429421418e-16,0.0
0.0,5.1161746976591685e-18,0.0,0.0,0.0,7.197865359459103e-18,0.0,0.0,3.094925398391353e-17,1.2367335877830259e-16,0.0,0.3443390208139105,0.6556609791860906,0.0,4.3744725374769657e-17
1.895277178685209e-17,0.0,0.0,3.632186150282586e-17,3.585788599907831e-17,5.816085965354061e-17,5.73623911948619e-17,0.0,6.962384440331473e-17,7.848413417454589e-17,0.0,0.3872678367369389,0.6127321632630615,2.0823075484754816e-16,0.0
0.0,1.3996970366726667e-16,0.0,2.84924629512192e-17,2.8754542728337756e-17,0.0,0.0,0.0,6.599517633535444e-17,2.5669219802878634e-17,0.0,0.4105758695675031,0.589424130432497,0.0,9.741182919022429e-18
1.6863477990573333e-16,0.0,0.0,2.7677293581599195e-17,6.117642590123501e-18,0.0,2.4835318295801438e-17,9.969199125747528e-17,7.097742170402451e-17,1.5504260860351612e-18,2.3657381426142307e-18,0.42638375058035916,0.5736162494196408,6.152035313199772e-17,0.0
1.6724487400911026e-16,0.0,0.0,0.0,0.0,0.0,4.2548729280408505e-17,2.0157165584684788e-17,1.076676758508147e-16,0.0,0.0,0.43841821062208713,0.5615817893779128,7.230458221306376e-17,3.781810768745141e-17
1.4156508377999752e-16,0.0,0.0,4.8455224654672194e-17,4.24419948120366e-17,0.0,3.8047816538418205e-17,0.0,1.195674797069419e-16,5.4543157468564657e-17,8.257010414312912e-18,0.4478290341231787,0.5521709658768219,1.3267678892012792e-16,2.818216278038355e-17
0.0,0.0,0.0,3.5916547739787454e-17,1.777841776641388e-17,0.0,0.0,1.1007440471041244e-17,1.763047811981217e-17,0.0,1.2444523525763721e-17,0.45523011089848964,0.544769889101512,1.933106251067434e-17,7.923758938634628e-18
