Large Cap,Mid Cap,Small Cap,International Developed,Emerging Markets,US Agg Bond,US High Yield,US Treasury,Corporate,Gold,Oil,Private Equity,Venture Capital,Angel Venture,Cash
0.0,0.0,8.668063664082019e-17,0.0,1.0671104721917311e-16,1.1109089470001198e-17,9.869793198889557e-17,0.0,0.0,2.4952441631252992e-17,4.1814655894575276e-17,0.0,0.0,1.0,4.3012195188171806e-17
2.8801209361271046e-18,4.695466743769371e-17,4.69790555257554e-17,1.1759742231566087e-17,0.0,3.5603343553987796e-17,0.0,0.0,9.720230245978689e-18,0.0,5.938730114488326e-17,5.551115123125783e-17,0.0,0.9999999999999999,0.0
0.0,2.2758831841713583e-17,4.270924867647128e-17,1.700378142824909e-17,0.0,0.0,7.75032045506123e-18,3.323607673725245e-17,1.9168173229386088e-17,3.415731027164905e-17,0.0,0.0,1.214306433183765e-16,0.9999999999999998,0.0
0.0,1.9823886017637647e-17,3.210933098616278e-17,5.929794970388058e-17,3.338872340174091e-17,0.0,0.0,1.5962502036906876e-17,4.673239385837862e-17,1.8633848119034216e-17,9.805472221153042e-18,3.885780586188048e-16,0.23405504915551897,0.7659449508444806,0.0
0.0,1.315737348836815e-15,0.0,1.5412394934810517e-16,1.2626940831770932e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.2311097942742454e-14,1.4085297364555718e-13,0.0,0.0,5.851784247427968e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.3774008928392617e-14,1.6511555612581648e-14,0.0,0.0,1.1311272274250743e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.745452794445435e-15,0.0,0.0,1.2035990955556543e-15,2.6946390585506137e-15,0.0,2.7517464285196335e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.584303452927738e-15,5.552599043504361e-15,0.0,2.851712552094714e-15,5.238897033360683e-15,0.0,9.561305350257647e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.2186044018806991e-15,0.0,0.0,7.425749775052423e-17,0.0,2.112983909162037e-16,1.2105243840698747e-16,0.0,1.2791854221222449e-16,1.7263968032921184e-14,0.999999999999966,1.509774041768847e-14,8.533463755820447e-16
1.759952403988164e-16,2.8363764107313565e-16,0.0,5.042935157290437e-16,2.396762824317002e-16,0.0,9.363534180612158e-17,0.0,9.600924018568908e-17,0.0,5.1138113951692824e-17,0.0,1.0,0.0,0.0
6.119568756591205e-16,3.1519044621713718e-15,0.0,6.221738166183903e-16,8.137004863466152e-16,0.0,3.1045084655555087e-16,0.0,2.214570039714232e-17,0.0,0.0,1.2934098236883074e-14,1.0,0.0,0.0
0.0,0.0,2.805777805457617e-16,0.0,0.0,7.143027248252694e-18,0.0,0.0,6.706655534944394e-17,0.0,4.137303928870499e-17,4.163336342344337e-15,0.9999999999999944,1.852371709227068e-15,8.274592797682979e-17
0.0,0.0,4.30446107737244e-16,1.0779230899243065e-17,0.0,0.0,0.0,0.0,0.0,7.671694555554824e-17,0.0,0.0,1.0,1.3467486505288392e-15,1.3000705133294873e-16
0.0,3.0548489727411726e-16,0.0,8.52048790406404e-17,2.800194284693934e-17,0.0,3.370591659646711e-17,0.0,4.212494761483843e-17,0.0,2.970578409843212e-17,2.706168622523819e-15,0.9999999999999983,0.0,0.0
2.890091509790747e-17,0.0,0.0,3.517268490680488e-17,0.0,0.0,5.4620165969878434e-17,0.0,0.0,0.0,0.0,4.6629367034256575e-15,0.999999999999997,0.0,0.0
0.0,7.061074739526249e-17,1.3299567370395013e-15,2.919828248852472e-16,4.333261692215681e-16,0.0,2.156972806062797e-16,0.0,1.658188122858597e-16,1.6982287709298514e-16,0.0,4.854450175173497e-14,0.9999999999999646,0.0,0.0
2.1411531542308476e-16,0.0,0.0,1.7980845882460182e-17,0.0,5.320956072782044e-17,0.0,7.495997862924827e-17,0.0,0.0,7.812954639658879e-18,0.0,1.0,7.873260569267511e-15,1.731036615684822e-16
3.709857527923997e-16,0.0,0.0,0.0,0.0,1.3559405854611213e-16,0.0,1.481151881139661e-16,0.0,0.0,2.335916287937173e-16,0.07760854906787609,0.9223914509321106,1.545122547906275e-14,4.780642446228175e-16
1.1827735948024174e-16,0.0,0.0,0.0,0.0,4.1910809731473894e-17,0.0,8.626448925338233e-17,0.0,0.0,5.900719356645451e-17,0.15744374011004622,0.8425562598899499,5.0929491883946525e-15,1.834162961293596e-16
1.8736067448379147e-16,0.0,0.0,0.0,1.9550626454491885e-17,5.1831193220907826e-17,6.90890238792892e-17,0.0,8.302147941966322e-17,0.0,2.946128978212081e-17,0.20914511238336767,0.7908548876166325,0.0,0.0
1.1868331098014677e-16,1.0287231555045765e-16,0.0,3.635773197473369e-17,5.654303580705916e-17,0.0,0.0,0.0,1.7562701998183813e-17,0.0,2.4637778682942507e-18,0.24821325787940035,0.7517867421205995,5.849331178756947e-16,3.591878947636593e-17
2.0850871990547883e-19,0.0,3.0414462865066013e-16,0.0,6.519954361087022e-18,4.525860897149841e-18,0.0,2.406580604386005e-17,4.576489598382489e-17,1.692115720905454e-17,1.3155642651719825e-16,0.2786938798413437,0.7213061201586562,0.0,0.0
0.0,0.0,3.1469917721282294e-16,2.9097623292813176e-18,0.0,5.779459819498915e-19,1.4467170425329526e-17,0.0,1.4411328323664392e-17,3.739866766702391e-17,4.005855868005829e-17,0.30452519743433665,0.6954748025656632,1.19089331359065e-16,5.989469661283452e-17
0.0,0.0,8.509370299242473e-16,5.545582907911847e-16,8.828914844199102e-17,7.930250596045809e-17,1.743495786125608e-18,0.0,0.0,0.0,4.16913204800324e-17,0.3234328852935422,0.6765671147064573,0.0,0.0
0.0,0.0,4.0174903644647695e-16,0.0,6.235759349784483e-18,0.0,2.766113408827754e-17,4.198389820889985e-17,0.0,4.3861061094604157e-17,1.1768200262742165e-16,0.3400472460836497,0.6599527539163514,0.0,0.0
1.20728956546306e-16,1.7988107516102937e-17,0.0,2.649419940783177e-17,0.0,3.544152973065398e-18,0.0,6.42139201540687e-17,0.0,1.1696260902997463e-16,0.0,0.3539302503023922,0.6460697496976081,2.1817874508642502e-16,1.1338641764033082e-17
5.91942839500353e-17,0.0,2.2761676602939375e-16,0.0,0.0,4.945784685079442e-18,0.0,1.1098525971505836e-16,3.903450183586552e-17,0.0,0.0,0.3684761869735562,0.6315238130264437,1.612387619998651e-16,3.0704424569863287e-18
1.672083580288183e-16,0.0,0.0,0.0,8.126228551365779e-17,9.857471290442864e-17,2.3397968313154996e-17,3.218542782214419e-17,2.5772221445835316e-17,0.0,1.384792105575853e-17,0.37819808207118766,0.6218019179288127,2.784860928244923e-16,0.0
4.117966700034409e-17,0.0,0.0,9.581600822685893e-17,2.524188070029199e-17,0.0,0.0,1.611637575954166e-17,8.390368576070735e-17,0.0,1.5719798439443863e-17,0.3868089372565018,0.6131910627434985,0.0,2.7061032117146776e-18
1.9462398578232464e-16,6.582441937070635e-17,0.0,2.0213699681006164e-17,0.0,3.3092349614233195e-17,0.0,4.570662394615165e-17,6.489090199113517e-17,3.409388352956544e-17,2.527833506008439e-18,0.39447958311477144,0.6055204168852285,3.5138981241656195e-17,0.0
