Large Cap,Mid Cap,Small Cap,International Developed,Emerging Markets,US Agg Bond,US High Yield,US Treasury,Corporate,Gold,Oil,Private Equity,Venture Capital,Angel Venture,Cash
0.11597363748072131,0.0073238284928020606,0.09329940628385316,0.09590583966037733,0.03621817328231918,0.0991111033852846,0.1327057132586548,0.03419041268090477,0.12778078699850762,0.05231962086293194,0.06626460326054524,0.07586143169503509,0.03871765396337209,0.008403998168025143,0.015923790526665496
6.198240201282601e-16,4.57662772422485e-16,7.205797125791498e-16,3.7727157914935484e-16,1.0329890657805269e-16,0.0,0.0,0.0,0.0,0.0,7.181575240761248e-16,0.0,3.0531133177191805e-16,0.9999999999999993,0.0
0.0,0.0,0.0,0.0,0.0,9.21468182322305e-16,4.206921694915165e-17,3.91533677642829e-16,3.5297373800191464e-16,5.087764035509212e-16,0.0,0.0,0.0,1.0,3.9757765843591816e-16
0.0,5.3983742324540666e-17,4.1600319712222264e-17,0.0,1.1990788790537416e-17,0.0,5.248812315949759e-18,0.0,0.0,7.289290643252502e-17,1.3380791534562861e-18,8.326672684688674e-17,9.00464396330598e-19,1.0,0.0
2.2275027387693562e-17,3.579917352698157e-17,0.0,0.0,0.0,1.5290636097054693e-18,0.0,0.0,4.2628235721171197e-17,1.0010905908817053e-17,1.3139301691276547e-17,2.498001805406602e-16,1.1559377883992145e-16,0.9999999999999998,8.694634912574496e-17
8.716108363744376e-17,0.0,1.2325645883843925e-16,6.6216618475165636e-18,0.0,0.0,0.0,5.947928035973577e-18,4.079301297883441e-17,0.0,1.73808970327039e-17,0.0,0.0,1.0,5.62715750261604e-18
1.3529383062683903e-17,0.0,0.0,0.0,0.0,7.529728615057274e-17,0.0,0.0,7.599140039115252e-18,3.88770381024504e-17,0.0,0.0,0.0,1.0,3.032253113690617e-19
7.859939491556376e-18,2.1386847526360574e-17,2.4598869500151487e-17,3.1563392938631674e-17,1.9314479034411736e-17,0.0,2.7616106079823447e-18,0.0,4.754823156261446e-19,0.0,5.359206341624589e-19,0.0,5.551115123125783e-17,0.9999999999999999,0.0
0.0,0.0,0.0,1.530065153028348e-17,0.0,0.0,0.0,0.0,2.507214555046069e-17,1.7284308709788895e-17,6.889183520218425e-18,1.1102230246251565e-16,4.163336342344337e-17,0.9999999999999999,5.676622569980346e-17
1.1321402884442665e-17,0.0,4.015250868683132e-17,0.0,0.0,7.370532542183724e-17,0.0,5.0071447583215545e-18,0.0,1.2408537064475784e-17,3.7498828398588136e-18,0.0,0.0,1.0,0.0
0.0,5.5365382373545196e-17,1.6253492314939985e-17,2.042702529619067e-17,4.113033564197175e-18,1.2182901286350344e-18,0.0,0.0,0.0,0.0,1.8666126921351375e-18,9.72901145753952e-17,0.0,1.0,6.208992380752121e-17
4.099013456621125e-17,0.0,8.478050566576629e-17,2.384274359246804e-19,0.0,1.3497696168948353e-17,0.0,2.5661591409280388e-17,2.940943786978418e-17,0.0,7.881110127354374e-17,0.0,0.0,1.0,1.1459326285165808e-17
0.0,0.0,0.0,0.0,1.626041350382608e-17,0.0,1.7210979997329277e-17,8.847793428789794e-18,1.629240271857071e-17,5.828158882766134e-18,5.008783733512063e-17,0.0,0.23420724973905346,0.7657927502609467,2.818717058438694e-19
