,Large Cap,Mid Cap,Small Cap,International Developed,Emerging Markets,US Agg Bond,US High Yield,US Treasury,Corporate,Gold,Oil,Private Equity,Venture Capital,Angel Venture,Cash
A,0.0,0.0,0.5582730355681076,0.0,1.8278510078777344e-16,4.280972483569494e-17,4.332363523753074e-17,1.2792488331883809e-16,0.0,0.05491440364145939,0.0,0.14275633987712777,0.24405622091330742,0.0,0.0
B,0.0,1.3996970366726667e-16,0.0,2.84924629512192e-17,2.8754542728337756e-17,0.0,0.0,0.0,6.599517633535444e-17,2.5669219802878634e-17,0.0,0.4105758695675031,0.589424130432497,0.0,9.741182919022429e-18
C,0.0,0.0,0.0005330203728610665,0.0,5.4478581519111816e-18,0.0019780371964961147,3.397226214148094e-17,0.004519789221659964,4.336808689942018e-18,1.745565497701662e-17,3.2526065174565133e-19,1.1599331205722717e-17,0.0002736110949431665,2.8053731213062427e-18,0.9926955421140397
D,0.0,3.0548489727411726e-16,0.0,8.52048790406404e-17,2.800194284693934e-17,0.0,3.370591659646711e-17,0.0,4.212494761483843e-17,0.0,2.970578409843212e-17,2.706168622523819e-15,0.9999999999999983,0.0,0.0
