Year,Previous Wealth,Salary,Total Pool (Before Gains),Invested in ASK,Invested in Normal,Gross Gains ASK,Tax ASK,Gross Gains Normal,Tax Normal,Total Tax Paid,Net Gains,Final Post-Tax Wealth
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,52645.200000000004,52645.200000000004,39186.369203852206,13985.282796147801,3183.7224044101513,541.2328087497258,664.089038226095,179.30404032104565,720.5368490707715,3127.274593565475,55772.47459356548
2027,55772.47459356548,53171.652,108944.12659356548,31852.954199574968,77091.17239399215,2672.0834015130804,454.2541782572237,2190.242888807491,591.3655799780227,1045.6197582352463,3816.706532085325,112760.83312565081
2028,112760.83312565081,59020.53372,171781.3668456508,95160.67659657283,78338.50391753638,7993.4968341121275,1358.8944617990617,2311.6999731725,624.158992756575,1983.0534545556366,8322.14335272899,180103.51019837978
2029,180103.51019837978,59610.7390572,239714.24925557978,0.0,239714.24925557984,0.0,0.0,15779.906752048115,4260.574823052992,4260.574823052992,11519.331928995123,251233.5811845749
2030,251233.5811845749,60206.846447772,311440.42763234687,0.0,311440.427632347,0.0,0.0,23167.468839698988,6255.216586718727,6255.216586718727,16912.25225298026,328352.6798853271
