Year,Goal,Reason
2074,Goal D,Required return > 100% (129.88%)
2074,Goal D,Required return > 100% (126.50%)
2074,Goal D,Required return > 100% (123.21%)
2074,Goal D,Required return > 100% (120.03%)
2074,Goal D,Required return > 100% (116.93%)
2074,Goal D,Required return > 100% (113.91%)
2074,Goal D,Required return > 100% (110.98%)
2074,Goal D,Required return > 100% (108.13%)
2074,Goal D,Required return > 100% (105.36%)
2074,Goal D,Required return > 100% (102.66%)
2074,Goal D,Required return > 100% (100.02%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
2075,Goal D,Required return > 100% (inf%)
