Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID
2025,Emerging Markets - Equities,0.23452189902205187,23.45,0.0,0
2025,Developed Markets - Equities,0.27198419340139957,27.2,0.0,0
2025,Emerging Markets State - Obligations,0.04941157638527482,4.94,0.0,0
2025,High Yield Bonds - Obligations,0.17148061038836512,17.15,0.0,0
2025,Investment Grade Bonds - Obligations,0.10969262055055723,10.97,0.0,0
2025,Government ZC Bonds - Obligations,0.1629091002523515,16.29,0.0,0
2026,Emerging Markets - Equities,0.9469796984102016,94.7,49853.93561874475,0
2026,Developed Markets - Equities,0.013153463756259936,1.32,692.4667301410556,0
2026,Emerging Markets State - Obligations,0.0028241654625091508,0.28,148.67875560688677,0
2026,High Yield Bonds - Obligations,0.009372517419235813,0.94,493.4180540391533,0
2026,Investment Grade Bonds - Obligations,0.010585976570972534,1.06,557.3008537741632,0
2026,Government ZC Bonds - Obligations,0.01708417838082083,1.71,899.3999876939889,0
2027,Emerging Markets - Equities,0.9172238828446666,91.72,56306.9515238732,0
2027,Developed Markets - Equities,0.019787118205339783,1.98,1214.7004961643586,0
2027,Emerging Markets State - Obligations,0.010127660962195093,1.01,621.7213981388622,0
2027,High Yield Bonds - Obligations,0.013863221866996931,1.39,851.0416881086494,0
2027,Investment Grade Bonds - Obligations,0.01702995747426353,1.7,1045.4426753292148,0
2027,Government ZC Bonds - Obligations,0.021968158646538054,2.2,1348.5911859851292,0
2028,Emerging Markets - Equities,0.9393208144288719,93.93,64111.639681556844,0
2028,Developed Markets - Equities,0.010714960485272863,1.07,731.330207189773,0
2028,Emerging Markets State - Obligations,0.017142632794936025,1.71,1170.0393306097667,0
2028,High Yield Bonds - Obligations,0.014239249496136974,1.42,971.8741658963323,0
2028,Investment Grade Bonds - Obligations,0.008945152375972413,0.89,610.5351624446427,0
2028,Government ZC Bonds - Obligations,0.009637190418809768,0.96,657.7689647481666,0
2029,Emerging Markets - Equities,0.9637751289695418,96.38,67341.7287951566,0
2029,Developed Markets - Equities,0.010669221057016393,1.07,745.4890350255948,0
2029,Emerging Markets State - Obligations,0.0013139684044676746,0.13,91.81073601024951,0
2029,High Yield Bonds - Obligations,0.013708520137880884,1.37,957.8535672477306,0
2029,Investment Grade Bonds - Obligations,0.002711345099397153,0.27,189.44944818082172,0
2029,Government ZC Bonds - Obligations,0.007821816331696091,0.78,546.532711066931,0
2030,Emerging Markets - Equities,0.9675514499964344,96.76,68643.11286960951,0
2030,Developed Markets - Equities,0.006614583677621844,0.66,469.27283708803935,0
2030,Emerging Markets State - Obligations,0.004693730365660763,0.47,332.99755095271945,0
2030,High Yield Bonds - Obligations,0.003620111165161516,0.36,256.82944231196313,0
2030,Investment Grade Bonds - Obligations,0.005171448885336295,0.52,366.8893778587834,0
2030,Government ZC Bonds - Obligations,0.012348675909785094,1.23,876.0790490973167,0
2031,Emerging Markets - Equities,0.9423401005568447,94.23,66318.78241937334,0
2031,Developed Markets - Equities,0.013201511052283975,1.32,929.0787249380778,0
2031,Emerging Markets State - Obligations,0.012762667891838235,1.28,898.1943934142115,0
2031,High Yield Bonds - Obligations,0.00986731292912548,0.99,694.4288785162099,0
2031,Investment Grade Bonds - Obligations,0.00965634045272575,0.97,679.5813327622276,0
2031,Government ZC Bonds - Obligations,0.012172067117181886,1.22,856.6298624683218,0
2032,Emerging Markets - Equities,0.9655237438059168,96.55,70648.74795528318,0
2032,Developed Markets - Equities,0.013969632149206544,1.4,1022.1778874613586,0
2032,Emerging Markets State - Obligations,0.005152652378012134,0.52,377.02691569286196,0
2032,High Yield Bonds - Obligations,0.0023488258923807085,0.23,171.86693701341463,0
2032,Investment Grade Bonds - Obligations,0.0010514605056182367,0.11,76.93686325469545,0
2032,Government ZC Bonds - Obligations,0.01195368526886565,1.2,874.6681820251841,0
2033,Emerging Markets - Equities,0.9722335801861539,97.22,72559.88912696432,0
2033,Developed Markets - Equities,0.002552078633977739,0.26,190.4671331032025,0
2033,Emerging Markets State - Obligations,0.00816452576807953,0.82,609.3361683646676,0
2033,High Yield Bonds - Obligations,0.0047962994734681895,0.48,357.95817497677245,0
2033,Investment Grade Bonds - Obligations,0.0033474415149540608,0.33,249.8267804508027,0
2033,Government ZC Bonds - Obligations,0.008906074423366588,0.89,664.6795439756768,0
2034,Emerging Markets - Equities,0.972567513896391,97.26,74135.66070194979,0
2034,Developed Markets - Equities,0.001777144872155964,0.18,135.46597781426615,0
2034,Emerging Markets State - Obligations,0.004341214684784538,0.43,330.91668630399505,0
2034,High Yield Bonds - Obligations,0.008215433990268228,0.82,626.2358325970926,0
2034,Investment Grade Bonds - Obligations,0.007177691291392341,0.72,547.1320793660502,0
2034,Government ZC Bonds - Obligations,0.005921001265008179,0.59,451.3386829464104,0
2035,Emerging Markets - Equities,0.94765544141483,94.77,73872.99163561827,0
2035,Developed Markets - Equities,0.009795550964356536,0.98,763.5967914412258,0
2035,Emerging Markets State - Obligations,0.011077391646507244,1.11,863.520668678019,0
2035,High Yield Bonds - Obligations,0.014094986634045719,1.41,1098.7525467763498,0
2035,Investment Grade Bonds - Obligations,0.010598091254277735,1.06,826.157559346576,0
2035,Government ZC Bonds - Obligations,0.006778538085982724,0.68,528.4102907486194,0
2036,Emerging Markets - Equities,0.9777132639325319,97.77,84822.43042279742,0
2036,Developed Markets - Equities,0.0005612528784352994,0.06,48.692019415989144,0
2036,Emerging Markets State - Obligations,0.006210817002147812,0.62,538.8252491476516,0
2036,High Yield Bonds - Obligations,0.0033294068153887925,0.33,288.8458082399415,0
2036,Investment Grade Bonds - Obligations,0.004364559795414276,0.44,378.6514750588607,0
2036,Government ZC Bonds - Obligations,0.007820699576081828,0.78,678.4921204624046,0
2037,Emerging Markets - Equities,0.9616375646375351,96.16,85392.3901980749,0
2037,Developed Markets - Equities,0.009516174922872584,0.95,845.0261845931149,0
2037,Emerging Markets State - Obligations,0.00014516525727207522,0.01,12.89052003376484,0
2037,High Yield Bonds - Obligations,0.010076434819098696,1.01,894.7766658868711,0
2037,Investment Grade Bonds - Obligations,0.010819658165158334,1.08,960.7741064038348,0
2037,Government ZC Bonds - Obligations,0.007805002198063199,0.78,693.075871516168,0
2038,Emerging Markets - Equities,0.9526175544759802,95.26,86680.14396555889,0
2038,Developed Markets - Equities,0.005811059349853491,0.58,528.7572737569243,0
2038,Emerging Markets State - Obligations,0.009027514836797361,0.9,821.4275309415838,0
2038,High Yield Bonds - Obligations,0.0095139709209741,0.95,865.6909220697861,0
2038,Investment Grade Bonds - Obligations,0.013517165079818457,1.35,1229.9477472566691,0
2038,Government ZC Bonds - Obligations,0.00951273533657641,0.95,865.5784943353084,0
2039,Emerging Markets - Equities,0.0027827267705193407,0.28,259.6091966811409,0
2039,Developed Markets - Equities,0.9501482670294551,95.01,88642.27381025246,0
2039,Emerging Markets State - Obligations,0.025590919215148757,2.56,2387.4560916869455,0
2039,High Yield Bonds - Obligations,0.01683158161943803,1.68,1570.2703655234745,0
2039,Investment Grade Bonds - Obligations,0.002274326529677508,0.23,212.17896403461543,0
2039,Government ZC Bonds - Obligations,0.0023721788357613993,0.24,221.307908652881,0
2040,Emerging Markets - Equities,0.0015064932689068705,0.15,153.4428221802789,0
2040,Developed Markets - Equities,0.9541814717156818,95.42,97187.48892812824,0
2040,Emerging Markets State - Obligations,0.011304227069339952,1.13,1151.3841713642953,0
2040,High Yield Bonds - Obligations,0.014242981295480416,1.42,1450.7089353444326,0
2040,Investment Grade Bonds - Obligations,0.0023743991739357735,0.24,241.84277338032416,0
2040,Government ZC Bonds - Obligations,0.016390427476655135,1.64,1669.4355697878827,0
2041,Emerging Markets - Equities,0.9764348876918557,97.64,101713.80602118271,0
2041,Developed Markets - Equities,0.006142080961621875,0.61,639.8116652443507,0
2041,Emerging Markets State - Obligations,0.00635316754886631,0.64,661.8002488757762,0
2041,High Yield Bonds - Obligations,0.002285941818485558,0.23,238.1232436816883,0
2041,Investment Grade Bonds - Obligations,0.0025524003951359594,0.26,265.8798471375169,0
2041,Government ZC Bonds - Obligations,0.006231521584034526,0.62,649.1285651556177,0
2042,Emerging Markets - Equities,0.0012077144846640649,0.12,128.24239947533925,0
2042,Developed Markets - Equities,0.975120244507046,97.51,103544.141865076,0
2042,Emerging Markets State - Obligations,0.010571349161787348,1.06,1122.529537746103,0
2042,High Yield Bonds - Obligations,0.0006943321114650447,0.07,73.72836637942949,0
2042,Investment Grade Bonds - Obligations,0.009675089788241652,0.97,1027.3593182320633,0
2042,Government ZC Bonds - Obligations,0.0027312699467958498,0.27,290.0226966222159,0
2043,Emerging Markets - Equities,0.9769473502702176,97.69,104522.89209489335,0
2043,Developed Markets - Equities,0.008004996409861681,0.8,856.4487899338216,0
2043,Emerging Markets State - Obligations,0.005846946606260051,0.58,625.5605985744112,0
2043,High Yield Bonds - Obligations,0.006420745016669626,0.64,686.9508764833206,0
2043,Investment Grade Bonds - Obligations,0.0008095867689006956,0.08,86.61710425219465,0
2043,Government ZC Bonds - Obligations,0.001970374928090369,0.2,210.8089918441445,0
2044,Emerging Markets - Equities,0.9546013273915651,95.46,112300.4377932702,0
2044,Developed Markets - Equities,0.017010172871457584,1.7,2001.0970083433951,0
2044,Emerging Markets State - Obligations,0.0012111787469741642,0.12,142.48451120717027,0
2044,High Yield Bonds - Obligations,0.013227214802714193,1.32,1556.0653128246984,0
2044,Investment Grade Bonds - Obligations,0.0012832405112093543,0.13,150.96194303086165,0
2044,Government ZC Bonds - Obligations,0.012666865676079539,1.27,1490.1451737755556,0
2045,Emerging Markets - Equities,0.9503955393573287,95.04,114272.07979582016,0
2045,Developed Markets - Equities,0.005600149202471666,0.56,673.3414352576592,0
2045,Emerging Markets State - Obligations,0.010430396871997528,1.04,1254.112729174799,0
2045,High Yield Bonds - Obligations,0.0036683807382785023,0.37,441.07266825923386,0
2045,Investment Grade Bonds - Obligations,0.016077803610292013,1.61,1933.1362375071599,0
2045,Government ZC Bonds - Obligations,0.013827730219631636,1.38,1662.5956516181911,0
2046,Emerging Markets - Equities,0.9795512929013717,97.96,118699.59587730808,0
2046,Developed Markets - Equities,7.023481505236752e-05,0.01,8.510880669189126,0
2046,Emerging Markets State - Obligations,0.003274561934687025,0.33,396.8032926293141,0
2046,High Yield Bonds - Obligations,0.0021041216126447045,0.21,254.9722377047423,0
2046,Investment Grade Bonds - Obligations,0.01277495304142266,1.28,1548.0371210342917,0
2046,Government ZC Bonds - Obligations,0.002224835694821631,0.22,269.6000707492586,0
2047,Emerging Markets - Equities,0.9700088248812807,97.0,119217.97512260388,0
2047,Developed Markets - Equities,0.0061407535569284084,0.61,754.7232416916748,0
2047,Emerging Markets State - Obligations,0.0058283341550849944,0.58,716.3256441426572,0
2047,High Yield Bonds - Obligations,0.007470252873995026,0.75,918.1240401606636,0
2047,Investment Grade Bonds - Obligations,0.000974734993006384,0.1,119.79884014105644,0
2047,Government ZC Bonds - Obligations,0.009577099539704467,0.96,1177.0639455892872,0
2048,Emerging Markets - Equities,0.991389175439345,99.14,133247.83547508315,0
2048,Developed Markets - Equities,0.0014840901655407703,0.15,199.46939820129626,0
2048,Emerging Markets State - Obligations,0.002208631946245788,0.22,296.85156292729454,0
2048,High Yield Bonds - Obligations,0.000648592643061589,0.06,87.17420760088528,0
2048,Investment Grade Bonds - Obligations,0.0026115722222868564,0.26,351.008821185043,0
2048,Government ZC Bonds - Obligations,0.0016579375835199298,0.17,222.83539081301637,0
2049,Emerging Markets - Equities,0.9443835843353626,94.44,129984.72459700728,0
2049,Developed Markets - Equities,0.015072471999924134,1.51,2074.571344105986,0
2049,Emerging Markets State - Obligations,0.011881113286182314,1.19,1635.3135145790816,0
2049,High Yield Bonds - Obligations,0.01677840235490439,1.68,2309.3751791703603,0
2049,Investment Grade Bonds - Obligations,0.006494395032414927,0.65,893.8869371673132,0
2049,Government ZC Bonds - Obligations,0.005390032991211478,0.54,741.8828170594371,0
2050,Emerging Markets - Equities,0.9723678967057298,97.24,134502.8754982009,0
2050,Developed Markets - Equities,0.006629357051218283,0.66,917.0064017065968,0
2050,Emerging Markets State - Obligations,0.002311774685686391,0.23,319.7764383030324,0
2050,High Yield Bonds - Obligations,0.006901450473884391,0.69,954.6437485140412,0
2050,Investment Grade Bonds - Obligations,0.009701573718285993,0.97,1341.9710444864072,0
2050,Government ZC Bonds - Obligations,0.00208794736519505,0.21,288.815504357006,0
2051,Emerging Markets - Equities,0.6310801500272617,63.11,88430.12877132998,0
2051,Developed Markets - Equities,0.0865312374116936,8.65,12125.192761534394,0
2051,Emerging Markets State - Obligations,0.1216479006782242,12.16,17045.91646761925,0
2051,High Yield Bonds - Obligations,0.06216713827898572,6.22,8711.172492302767,0
2051,Investment Grade Bonds - Obligations,0.030665088889575875,3.07,4296.946686046666,0
2051,Government ZC Bonds - Obligations,0.0679084847142589,6.79,9515.67886850568,0
2052,Emerging Markets - Equities,0.9849192295581954,98.49,133113.54506817966,0
2052,Developed Markets - Equities,0.0009246320946449595,0.09,124.9656340421108,0
2052,Emerging Markets State - Obligations,0.0031782370433964596,0.32,429.544258267033,0
2052,High Yield Bonds - Obligations,0.004644890253898715,0.46,627.7649878218384,0
2052,Investment Grade Bonds - Obligations,0.006064559937091584,0.61,819.6358120318517,0
2052,Government ZC Bonds - Obligations,0.0002684511127731135,0.03,36.28163429681052,0
2053,Emerging Markets - Equities,0.09672331144529664,9.67,13752.526042710233,0
2053,Developed Markets - Equities,0.08919901671683203,8.92,12682.690264137242,0
2053,Emerging Markets State - Obligations,0.1960146105480089,19.6,27870.17933973227,0
2053,High Yield Bonds - Obligations,0.21991988236498147,21.99,31269.13113644486,0
2053,Investment Grade Bonds - Obligations,0.18355213671079068,18.36,26098.21254659915,0
2053,Government ZC Bonds - Obligations,0.21459104221409026,21.46,30511.454296627202,0
2054,Emerging Markets - Equities,0.253059466905406,25.31,31526.637501157926,0
2054,Developed Markets - Equities,0.007019517885622367,0.7,874.5051055356639,0
2054,Emerging Markets State - Obligations,0.09279766426889603,9.28,11560.912374217693,0
2054,High Yield Bonds - Obligations,0.27517740327007617,27.52,34282.13276308104,0
2054,Investment Grade Bonds - Obligations,0.19211613834353355,19.21,23934.199837475044,0
2054,Government ZC Bonds - Obligations,0.17982980932646597,17.98,22403.545221475877,0
2055,Emerging Markets - Equities,0.9495476064827416,94.95,120766.3595329981,0
2055,Developed Markets - Equities,0.01983373482161785,1.98,2522.5148628639927,0
2055,Emerging Markets State - Obligations,0.010977996228626188,1.1,1396.2150296065897,0
2055,High Yield Bonds - Obligations,0.0059077339122189055,0.59,751.3636102049204,0
2055,Investment Grade Bonds - Obligations,0.0013229901376999316,0.13,168.26191918897175,0
2055,Government ZC Bonds - Obligations,0.012409938417095529,1.24,1578.3338027808124,0
2056,Emerging Markets - Equities,0.9569044335992646,95.69,138170.52161549428,0
2056,Developed Markets - Equities,0.014094242253491106,1.41,2035.1131581814236,0
2056,Emerging Markets State - Obligations,0.006737163907016739,0.67,972.8008550866637,0
2056,High Yield Bonds - Obligations,0.0008610324866074253,0.09,124.32726155834322,0
2056,Investment Grade Bonds - Obligations,0.01705310614083514,1.71,2462.3530709131733,0
2056,Government ZC Bonds - Obligations,0.00435002161278505,0.44,628.1136696341104,0
2057,Emerging Markets - Equities,0.9504805331956259,95.05,140798.46462217014,0
2057,Developed Markets - Equities,0.022015402216314685,2.2,3261.229159186418,0
2057,Emerging Markets State - Obligations,0.005706928105925057,0.57,845.3899758702133,0
2057,High Yield Bonds - Obligations,0.008952250805448638,0.9,1326.1325448527925,0
2057,Investment Grade Bonds - Obligations,0.012548775746051434,1.25,1858.900099712322,0
2057,Government ZC Bonds - Obligations,0.00029610993063428336,0.03,43.86394264437132,0
2058,Emerging Markets - Equities,0.12235009064459962,12.24,18343.22433465485,0
2058,Developed Markets - Equities,0.033926675760967674,3.39,5086.4255280385905,0
2058,Emerging Markets State - Obligations,0.14862082305808963,14.86,22281.83962752064,0
2058,High Yield Bonds - Obligations,0.24066690535761676,24.07,36081.76350048962,0
2058,Investment Grade Bonds - Obligations,0.21018793132111852,21.02,31512.23146911891,0
2058,Government ZC Bonds - Obligations,0.24424757385760795,24.42,36618.59191816656,0
2059,Emerging Markets - Equities,0.12025774952677291,12.03,15658.173710937439,0
2059,Developed Markets - Equities,0.19859576617484018,19.86,25858.18391961561,0
2059,Emerging Markets State - Obligations,0.15041676246494262,15.04,19585.031359567707,0
2059,High Yield Bonds - Obligations,0.18105219535345152,18.11,23573.92132105201,0
2059,Investment Grade Bonds - Obligations,0.19868393165280843,19.87,25869.663515523294,0
2059,Government ZC Bonds - Obligations,0.1509935948271843,15.1,19660.137881730418,0
2060,Emerging Markets - Equities,0.15370652234985027,15.37,20752.064330981055,0
2060,Developed Markets - Equities,0.16670872126876457,16.67,22507.503620638396,0
2060,Emerging Markets State - Obligations,0.13480559077319243,13.48,18200.23151349322,0
