Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed
2026,NORMAL,Emerging Markets - Equities,50747.78,0.9639583475796463,-0.4261905334108754,0.02,-0.44619053341087545,-22643.179027617756,0.0,-22643.179027617756,28104.600972382243,187224.30000000002,,,,,,,,
2026,NORMAL,Developed Markets - Equities,643.3,0.012219537583673343,-0.2870541013825706,0.02,-0.3070541013825706,-197.52790341940766,0.0,-197.52790341940766,445.7720965805923,187224.30000000002,,,,,,,,
2026,NORMAL,Emerging Markets State - Obligations,111.6099176532747,0.002120039769119971,-0.3452545594345743,0.02,-0.3652545594345743,-40.76603130097597,0.0,-40.76603130097597,70.84388635229874,187224.30000000002,,,,,,,,
2026,NORMAL,High Yield Bonds - Obligations,175.73337778855884,0.003338070285392758,-0.305874873922538,0.02,-0.325874873922538,-57.26709233082835,0.0,-57.26709233082835,118.46628545773049,187224.30000000002,,,,,,,,
2026,NORMAL,Investment Grade Bonds - Obligations,792.4503853571589,0.015052661692939884,-0.1001248017734512,0.02,-0.12012480177345121,-95.19294545632374,0.0,-95.19294545632374,697.2574399008352,187224.30000000002,,,,,,,,
2026,NORMAL,Government ZC Bonds - Obligations,174.32782890041594,0.0033113717660948373,-0.03976683777922396,0.02,-0.059766837779223966,-10.41902307029548,0.0,-10.41902307029548,163.90880583012046,187224.30000000002,,,,,,,,
2027,NORMAL,Emerging Markets - Equities,77580.25,0.9372708158717371,-0.2799420339086612,0.02,-0.2999420339086612,-23269.577976142406,0.0,-23269.577976142406,54310.672023857594,210908.17395000003,,,,,,,,
2027,NORMAL,Developed Markets - Equities,1014.64,0.012258177314665773,-0.2610512352529696,0.02,-0.2810512352529696,-285.1658253370731,0.0,-285.1658253370731,729.4741746629269,210908.17395000003,,,,,,,,
2027,NORMAL,Emerging Markets State - Obligations,1562.1949741880192,0.018873357046515472,-0.2536136189270907,0.02,-0.27361361892709074,-427.43782035729714,0.0,-427.43782035729714,1134.757153830722,210908.17395000003,,,,,,,,
2027,NORMAL,High Yield Bonds - Obligations,1373.7081279312886,0.016596189595106944,-0.2366380390740012,0.02,-0.2566380390740012,-352.5457602123031,0.0,-352.5457602123031,1021.1623677189855,210908.17395000003,,,,,,,,
2027,NORMAL,Investment Grade Bonds - Obligations,547.7982673946827,0.006618119031765666,-0.08688231977449601,0.02,-0.10688231977449601,-58.549949587593346,0.0,-58.549949587593346,489.2483178070894,210908.17395000003,,,,,,,,
2027,NORMAL,Government ZC Bonds - Obligations,693.9119964557427,0.008383363846613796,-0.03890538890167883,0.02,-0.05890538890167883,-40.875156014765935,0.0,-40.875156014765935,653.0368404409768,210908.17395000003,,,,,,,,
