Year,Final Wealth,Path_ID,source_folder
2073,216558.18223219347,1,P2_outputs_path_0_to_50
2074,230478.09094546677,1,P2_outputs_path_0_to_50
2075,,1,P2_outputs_path_0_to_50
2025,188732.96593954173,2,P2_outputs_path_0_to_50
2026,264298.99279955577,2,P2_outputs_path_0_to_50
2027,393193.04123498,2,P2_outputs_path_0_to_50
2028,562846.0953627483,2,P2_outputs_path_0_to_50
2029,481629.760022308,2,P2_outputs_path_0_to_50
2030,531438.3422790179,2,P2_outputs_path_0_to_50
2031,499557.12908593327,2,P2_outputs_path_0_to_50
2032,519275.0435600126,2,P2_outputs_path_0_to_50
2033,483150.5074503846,2,P2_outputs_path_0_to_50
2034,594559.4832179605,2,P2_outputs_path_0_to_50
2035,474859.1589784883,2,P2_outputs_path_0_to_50
2036,596950.9137179949,2,P2_outputs_path_0_to_50
2037,581519.3206710238,2,P2_outputs_path_0_to_50
2038,662253.4673964794,2,P2_outputs_path_0_to_50
2039,959016.9600526672,2,P2_outputs_path_0_to_50
2040,996035.4210101864,2,P2_outputs_path_0_to_50
2041,932292.499554098,2,P2_outputs_path_0_to_50
2042,1103035.998549655,2,P2_outputs_path_0_to_50
2043,1345714.2183539637,2,P2_outputs_path_0_to_50
2044,1663798.8851183625,2,P2_outputs_path_0_to_50
2045,2084217.052020738,2,P2_outputs_path_0_to_50
2046,2462432.7378284866,2,P2_outputs_path_0_to_50
2047,2105693.7298583607,2,P2_outputs_path_0_to_50
2048,2508663.288051991,2,P2_outputs_path_0_to_50
2049,2791565.433418396,2,P2_outputs_path_0_to_50
2050,2892593.277779727,2,P2_outputs_path_0_to_50
2051,3421444.1136078024,2,P2_outputs_path_0_to_50
2052,3196583.218991569,2,P2_outputs_path_0_to_50
2053,3899462.548468486,2,P2_outputs_path_0_to_50
2054,4175503.610510419,2,P2_outputs_path_0_to_50
2055,3867358.0282310247,2,P2_outputs_path_0_to_50
2056,4849923.344944006,2,P2_outputs_path_0_to_50
2057,4643542.029765016,2,P2_outputs_path_0_to_50
2058,4765089.201177976,2,P2_outputs_path_0_to_50
2059,731894.6965146037,2,P2_outputs_path_0_to_50
2060,850843.2567287342,2,P2_outputs_path_0_to_50
2061,870111.18683199,2,P2_outputs_path_0_to_50
2062,904264.3187330216,2,P2_outputs_path_0_to_50
2063,924154.3420441648,2,P2_outputs_path_0_to_50
2064,934740.7848742708,2,P2_outputs_path_0_to_50
2065,949048.691946411,2,P2_outputs_path_0_to_50
2066,987677.2602745956,2,P2_outputs_path_0_to_50
2067,988231.1025851418,2,P2_outputs_path_0_to_50
2068,987354.501553352,2,P2_outputs_path_0_to_50
2069,916064.310332562,2,P2_outputs_path_0_to_50
2070,782800.1828271121,2,P2_outputs_path_0_to_50
2071,789836.8704948502,2,P2_outputs_path_0_to_50
2072,750246.3931923801,2,P2_outputs_path_0_to_50
2073,754787.3153823474,2,P2_outputs_path_0_to_50
2074,715132.4563545659,2,P2_outputs_path_0_to_50
2075,,2,P2_outputs_path_0_to_50
2025,203931.77436462103,3,P2_outputs_path_0_to_50
2026,265404.71749020065,3,P2_outputs_path_0_to_50
2027,468968.5950213905,3,P2_outputs_path_0_to_50
2028,683379.0804281698,3,P2_outputs_path_0_to_50
2029,910503.155366313,3,P2_outputs_path_0_to_50
2030,906254.581651571,3,P2_outputs_path_0_to_50
2031,988131.2008448446,3,P2_outputs_path_0_to_50
2032,1141255.205099539,3,P2_outputs_path_0_to_50
2033,1211102.157730273,3,P2_outputs_path_0_to_50
2034,753234.8238824322,3,P2_outputs_path_0_to_50
2035,786575.1581160652,3,P2_outputs_path_0_to_50
2036,1008077.6556134257,3,P2_outputs_path_0_to_50
2037,1209899.933468166,3,P2_outputs_path_0_to_50
2038,1468202.0628196162,3,P2_outputs_path_0_to_50
2039,1833211.822367329,3,P2_outputs_path_0_to_50
2040,2143497.517439852,3,P2_outputs_path_0_to_50
2041,2612754.7827847786,3,P2_outputs_path_0_to_50
2042,2843376.566453619,3,P2_outputs_path_0_to_50
2043,2924406.6602647523,3,P2_outputs_path_0_to_50
2044,3420439.0964156664,3,P2_outputs_path_0_to_50
2045,4001573.149019533,3,P2_outputs_path_0_to_50
2046,4291159.793233815,3,P2_outputs_path_0_to_50
2047,4227217.355942842,3,P2_outputs_path_0_to_50
2048,4212804.255149624,3,P2_outputs_path_0_to_50
2049,4332388.103310945,3,P2_outputs_path_0_to_50
2050,4450999.662624352,3,P2_outputs_path_0_to_50
2051,4174179.569406633,3,P2_outputs_path_0_to_50
2052,3976572.268106271,3,P2_outputs_path_0_to_50
2053,3554978.470461621,3,P2_outputs_path_0_to_50
2054,3438745.6171329767,3,P2_outputs_path_0_to_50
2055,3283709.8088194355,3,P2_outputs_path_0_to_50
2056,3473394.3174510715,3,P2_outputs_path_0_to_50
2057,4019139.015881512,3,P2_outputs_path_0_to_50
2058,3834694.733252408,3,P2_outputs_path_0_to_50
2059,0.0,3,P2_outputs_path_0_to_50
2060,140340.30196759908,3,P2_outputs_path_0_to_50
2061,129469.31353078582,3,P2_outputs_path_0_to_50
2062,135053.62934019486,3,P2_outputs_path_0_to_50
2063,129095.60737442011,3,P2_outputs_path_0_to_50
