Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID,source_folder
2033,High Yield Bonds - Obligations,0.0022590410283316,0.23,1203.777926804367,0,P1_outputs_path_0_to_50
2033,Investment Grade Bonds - Obligations,0.0023138854317684,0.23,1233.002930439975,0,P1_outputs_path_0_to_50
2033,Government ZC Bonds - Obligations,0.1432614757155368,14.33,76339.91594882321,0,P1_outputs_path_0_to_50
2034,Emerging Markets - Equities,0.8609332654703834,86.09,508952.5861777706,0,P1_outputs_path_0_to_50
2034,Developed Markets - Equities,0.0009003064424781,0.09,532.2285833634237,0,P1_outputs_path_0_to_50
2034,Emerging Markets State - Obligations,0.0026625200529878,0.27,1573.9854888496693,0,P1_outputs_path_0_to_50
2034,High Yield Bonds - Obligations,0.0014170468762615,0.14,837.7068250631444,0,P1_outputs_path_0_to_50
2034,Investment Grade Bonds - Obligations,0.0028158914615265,0.28,1664.653114497558,0,P1_outputs_path_0_to_50
2034,Government ZC Bonds - Obligations,0.1312709696963624,13.13,77602.64610117536,0,P1_outputs_path_0_to_50
2035,Emerging Markets - Equities,0.2259328018883054,22.59,164110.31371111405,0,P1_outputs_path_0_to_50
2035,Developed Markets - Equities,0.6593726265916164,65.94,478947.0484058672,0,P1_outputs_path_0_to_50
2035,Emerging Markets State - Obligations,0.0049652114273029,0.5,3606.5697329753966,0,P1_outputs_path_0_to_50
2035,High Yield Bonds - Obligations,0.0037280292811139,0.37,2707.9204512777687,0,P1_outputs_path_0_to_50
2035,Investment Grade Bonds - Obligations,0.0015132997052673,0.15,1099.212187405774,0,P1_outputs_path_0_to_50
2035,Government ZC Bonds - Obligations,0.1044880311063939,10.45,75896.74195429223,0,P1_outputs_path_0_to_50
2036,Emerging Markets - Equities,0.2903099250023006,29.03,258522.89230227127,0,P1_outputs_path_0_to_50
2036,Developed Markets - Equities,0.6121392161871047,61.21,545113.9869196049,0,P1_outputs_path_0_to_50
2036,Emerging Markets State - Obligations,0.0032854992057221,0.33,2925.758591661542,0,P1_outputs_path_0_to_50
2036,High Yield Bonds - Obligations,0.0010783587823858,0.11,960.2855684652552,0,P1_outputs_path_0_to_50
2036,Investment Grade Bonds - Obligations,0.0014799145093085,0.15,1317.873577017743,0,P1_outputs_path_0_to_50
2036,Government ZC Bonds - Obligations,0.0917070863131782,9.17,81665.76185126638,0,P1_outputs_path_0_to_50
2037,Emerging Markets - Equities,0.2332087596433353,23.32,229151.72319319824,0,P1_outputs_path_0_to_50
2037,Developed Markets - Equities,0.6657187790618915,66.57,654137.5444790848,0,P1_outputs_path_0_to_50
2037,Emerging Markets State - Obligations,0.0049286839589668,0.49,4842.941680232028,0,P1_outputs_path_0_to_50
2037,High Yield Bonds - Obligations,0.0067650090468625,0.68,6647.320979181866,0,P1_outputs_path_0_to_50
2037,Investment Grade Bonds - Obligations,0.0028868272650847,0.29,2836.606323737602,0,P1_outputs_path_0_to_50
2037,Government ZC Bonds - Obligations,0.086491941023859,8.65,84987.2764567409,0,P1_outputs_path_0_to_50
2038,Emerging Markets - Equities,0.3085463070018552,30.85,350932.64118871896,0,P1_outputs_path_0_to_50
2038,Developed Markets - Equities,0.6092427027169137,60.92,692936.994990883,0,P1_outputs_path_0_to_50
2038,Emerging Markets State - Obligations,0.0049518864931116,0.5,5632.148453761852,0,P1_outputs_path_0_to_50
2038,High Yield Bonds - Obligations,0.0047524929569281,0.48,5405.363369316078,0,P1_outputs_path_0_to_50
2038,Investment Grade Bonds - Obligations,0.0021406623177475,0.21,2434.7343138215247,0,P1_outputs_path_0_to_50
2038,Government ZC Bonds - Obligations,0.0703659485134436,7.04,80032.42171822104,0,P1_outputs_path_0_to_50
2039,Emerging Markets - Equities,0.3952319356370719,39.52,554383.7197135048,0,P1_outputs_path_0_to_50
2039,Developed Markets - Equities,0.5447680643629321,54.48,764134.9766329975,0,P1_outputs_path_0_to_50
2039,Emerging Markets State - Obligations,1.8913719811950278e-17,0.0,2.6529886371825088e-11,0,P1_outputs_path_0_to_50
2039,High Yield Bonds - Obligations,0.0,0.0,0.0,0,P1_outputs_path_0_to_50
2039,Investment Grade Bonds - Obligations,5.223686067034805e-17,0.0,7.327157173649032e-11,0,P1_outputs_path_0_to_50
2039,Government ZC Bonds - Obligations,0.0599999999999959,6.0,84160.7678518983,0,P1_outputs_path_0_to_50
2040,Emerging Markets - Equities,0.295885714351412,29.59,405736.7634678088,0,P1_outputs_path_0_to_50
2040,Developed Markets - Equities,0.6363839016055114,63.64,872648.904751709,0,P1_outputs_path_0_to_50
2040,Emerging Markets State - Obligations,0.0015205868128371,0.15,2085.122539169363,0,P1_outputs_path_0_to_50
2040,High Yield Bonds - Obligations,0.0017386780715779,0.17,2384.1827410317837,0,P1_outputs_path_0_to_50
2040,Investment Grade Bonds - Obligations,0.0028661587535937,0.29,3930.253877978451,0,P1_outputs_path_0_to_50
2040,Government ZC Bonds - Obligations,0.0616049604050678,6.16,84476.52602324921,0,P1_outputs_path_0_to_50
2041,Emerging Markets - Equities,0.2308805966295334,23.09,290649.35361504,0,P1_outputs_path_0_to_50
2041,Developed Markets - Equities,0.6736932059478314,67.37,848094.1997814212,0,P1_outputs_path_0_to_50
2041,Emerging Markets State - Obligations,0.005869790717641,0.59,7389.321159263257,0,P1_outputs_path_0_to_50
2041,High Yield Bonds - Obligations,0.0013273411552769,0.13,1670.953966854595,0,P1_outputs_path_0_to_50
2041,Investment Grade Bonds - Obligations,0.0061860759807428,0.62,7787.484143162705,0,P1_outputs_path_0_to_50
2041,Government ZC Bonds - Obligations,0.0820429895689742,8.2,103281.70593360976,0,P1_outputs_path_0_to_50
2042,Emerging Markets - Equities,0.2298174854984352,22.98,270784.3744314312,0,P1_outputs_path_0_to_50
2042,Developed Markets - Equities,0.6804884062489297,68.05,801791.1561181563,0,P1_outputs_path_0_to_50
2042,Emerging Markets State - Obligations,0.0014568928796421,0.15,1716.5962205699827,0,P1_outputs_path_0_to_50
2042,High Yield Bonds - Obligations,0.0046659062887947,0.47,5497.643109386345,0,P1_outputs_path_0_to_50
2042,Investment Grade Bonds - Obligations,0.0110350420247623,1.1,13002.130560340604,0,P1_outputs_path_0_to_50
