Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2025,Emerging Markets - Equities,0.06342042685210923,6.34,0.0
2025,Developed Markets - Equities,0.12086682496314988,12.09,0.0
2025,Emerging Markets State - Obligations,0.14930976506084231,14.93,0.0
2025,High Yield Bonds - Obligations,0.2799099332079244,27.99,0.0
2025,Investment Grade Bonds - Obligations,0.12214266933472771,12.21,0.0
2025,Government ZC Bonds - Obligations,0.26435038058124644,26.44,0.0
2026,Emerging Markets - Equities,0.9550379236652945,95.5,50278.16249894416
2026,Developed Markets - Equities,0.011134038113442662,1.11,586.1536632898117
2026,Emerging Markets State - Obligations,0.013102862472742605,1.31,689.802815450029
2026,High Yield Bonds - Obligations,0.005696638937585665,0.57,299.9006961969849
2026,Investment Grade Bonds - Obligations,0.007053294964226071,0.71,371.3221240506744
2026,Government ZC Bonds - Obligations,0.007975241846708659,0.8,419.8582020683467
2027,Emerging Markets - Equities,0.9407237704232808,94.07,99036.5611087148
2027,Developed Markets - Equities,0.011088777360601298,1.11,1167.39303419535
2027,Emerging Markets State - Obligations,0.008511505082534458,0.85,896.0655824124366
2027,High Yield Bonds - Obligations,0.01432668617031402,1.43,1508.270307396678
2027,Investment Grade Bonds - Obligations,0.015984127426238587,1.6,1682.7607235925184
2027,Government ZC Bonds - Obligations,0.00936513353703067,0.94,985.9330113600571
2028,Emerging Markets - Equities,0.9679666742062041,96.8,135633.91173732234
2028,Developed Markets - Equities,8.576451797965522e-05,0.01,12.017538797382693
2028,Emerging Markets State - Obligations,0.008634191889577071,0.86,1209.844565810461
2028,High Yield Bonds - Obligations,0.001356859685443925,0.14,190.12657327934764
2028,Investment Grade Bonds - Obligations,0.007583377110078562,0.76,1062.6017703168502
2028,Government ZC Bonds - Obligations,0.014373132590716708,1.44,2013.999292689292
2029,Emerging Markets - Equities,0.9351408743939008,93.51,182399.95947506357
2029,Developed Markets - Equities,0.015154590712381089,1.52,2955.9147797823116
2029,Emerging Markets State - Obligations,0.0019783037514548656,0.2,385.86969511797787
2029,High Yield Bonds - Obligations,0.007915845645951493,0.79,1543.9918888886373
2029,Investment Grade Bonds - Obligations,0.018292546504841505,1.83,3567.9755131453894
2029,Government ZC Bonds - Obligations,0.021517838991470226,2.15,4197.07133706347
2030,Emerging Markets - Equities,0.9602240636800888,96.02,159802.50032945236
2030,Developed Markets - Equities,0.00721811439805658,0.72,1201.253719941928
2030,Emerging Markets State - Obligations,0.0005463076797177703,0.05,90.91766856320623
2030,High Yield Bonds - Obligations,0.0163480664650436,1.63,2720.679470012131
