Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed,Path_ID
2026,ASK,Emerging Markets - Equities,41913.66,0.9874750283240935,0.03386818567402727,0.02,0.013868185674027266,581.2664191580479,98.81529125686815,482.4511279011798,42396.11112790118,187224.30000000002,,,,,,,,,0
2026,ASK,Developed Markets - Equities,135.01,0.0031808008075180226,0.1080766748212674,0.02,0.0880766748212674,11.891231867619297,2.0215094174952806,9.869722450124016,144.879722450124,187224.30000000002,,,,,,,,,0
2026,NORMAL,Emerging Markets State - Obligations,85.89330730131203,0.002023624185055974,0.06530575501109404,0.02,0.04530575501109403,3.8914611376858517,1.05069450717518,2.8407666305106716,88.7340739318227,187224.30000000002,,,,,,,,,0
2026,NORMAL,High Yield Bonds - Obligations,63.491617694869305,0.001495846150910791,0.1397831648097128,0.02,0.11978316480971281,7.605226906379798,2.0534112647225453,5.551815641657253,69.04343333652656,187224.30000000002,,,,,,,,,0
2026,NORMAL,Investment Grade Bonds - Obligations,36.698662933234175,0.0008646110413514777,0.097983870441126,0.02,0.077983870441126,2.861903775547887,0.7727140193979295,2.0891897561499575,38.78785268938413,187224.30000000002,,,,,,,,,0
2026,NORMAL,Government ZC Bonds - Obligations,210.5289376494517,0.0049600075170823455,0.03251979190989363,0.02,0.012519791909893632,2.6357784903821084,0.7116601924031694,1.924118297978939,212.45305594743064,187224.30000000002,,,,,,,,,0
2027,ASK,Emerging Markets - Equities,79790.27,0.9296793016988101,0.3905701728414062,0.02,0.3705701728414062,29567.89414496247,5026.54200464362,24541.35214031885,104331.62214031885,210908.17395000003,,,,,,,,,0
2027,ASK,Developed Markets - Equities,4825.79,0.056227871861382346,0.2536894002439221,0.02,0.23368940024392212,1127.7359708031163,191.7151150365298,936.0208557665865,5761.810855766586,210908.17395000003,,,,,,,,,0
2027,NORMAL,Emerging Markets State - Obligations,331.4578809874128,0.003861993841341121,0.2865032977342938,0.02,0.26650329773429376,88.3346183431666,23.850346952654984,64.48427139051161,395.9421523779244,210908.17395000003,,,,,,,,,0
2027,NORMAL,High Yield Bonds - Obligations,631.6034178941317,0.007359150739788172,0.1518429726659967,0.02,0.1318429726659967,83.27247216116609,22.48356748351485,60.788904677651246,692.3923225717829,210908.17395000003,,,,,,,,,0
2027,NORMAL,Investment Grade Bonds - Obligations,136.4340920310497,0.0015896669030865222,0.1046879641405076,0.02,0.0846879641405076,11.554325493468241,3.119667883236426,8.434657610231815,144.8687496412815,210908.17395000003,,,,,,,,,0
2027,NORMAL,Government ZC Bonds - Obligations,110.02303438858455,0.0012819374816147814,0.03140025619289832,0.02,0.011400256192898316,1.254290779149926,0.33865851037048006,0.915632268779446,110.938666657364,210908.17395000003,,,,,,,,,0
2028,ASK,Emerging Markets - Equities,79950.64,0.5109120410302408,-0.05822360080002031,0.02,-0.0782236008000203,-6254.026947066144,-1063.1845810012446,-5190.8423660649,74759.7976339351,237588.05795467505,,,,,,,,,0
2028,ASK,Developed Markets - Equities,1002.38,0.00640555237191213,-0.03074799972851738,0.02,-0.05074799972851738,-50.86877996787132,-8.647692594538125,-42.22108737333319,960.1589126266668,237588.05795467505,,,,,,,,,0
2028,NORMAL,Emerging Markets State - Obligations,766.4815480513047,0.004898080267111191,-0.0777775283756873,0.02,-0.0977775283756873,-74.94467131402723,-20.23506125478735,-54.70961005923988,711.7719379920647,237588.05795467505,,,,,,,,,0
2028,NORMAL,High Yield Bonds - Obligations,824.0277329508738,0.005265820147374094,-0.0435160493064316,0.02,-0.06351604930643161,-52.33898611597476,-14.131526251313186,-38.20745986466157,785.8202730862122,237588.05795467505,,,,,,,,,0
2028,NORMAL,Investment Grade Bonds - Obligations,959.8644725792203,0.0061338635537859995,0.05861899609230226,0.02,0.038618996092302266,37.0690023156767,10.008630625232708,27.06037169044399,986.9248442696643,237588.05795467505,,,,,,,,,0
2028,NORMAL,Government ZC Bonds - Obligations,72982.71206031495,0.46638458902465174,0.08447794970601397,0.02,0.06447794970601396,4705.775637633487,1270.5594221610415,3435.2162154724456,76417.9282757874,237588.05795467505,,,,,,,,,0
2029,ASK,Emerging Markets - Equities,59704.82,0.2983342646431625,-0.1074803176928559,0.02,-0.1274803176928559,-7611.189421394774,-1293.9022016371118,-6317.287219757663,53387.532780242334,267642.94728594145,,,,,,,,,0
2029,NORMAL,Emerging Markets - Equities,58620.8,0.292917611355229,-0.1074803176928559,0.02,-0.1274803176928559,-7472.998207409364,0.0,-7472.998207409364,51147.80179259064,267642.94728594145,,,,,,,,,0
2029,ASK,Developed Markets - Equities,320.36,0.001600781394552124,-0.009312820340501293,0.02,-0.029312820340501294,-9.390655124283,-1.5964113711281103,-7.79424375315489,312.5657562468451,267642.94728594145,,,,,,,,,0
2029,NORMAL,Developed Markets - Equities,314.54,0.0015716998996205054,-0.009312820340501293,0.02,-0.029312820340501294,-9.220054509901274,0.0,-9.220054509901274,305.31994549009875,267642.94728594145,,,,,,,,,0
2029,NORMAL,Emerging Markets State - Obligations,999.7447503255275,0.0049955449981966,-0.004616779536567917,0.02,-0.024616779536567917,-24.610496111604675,0.0,-24.610496111604675,975.1342542139229,267642.94728594145,,,,,,,,,0
2029,NORMAL,High Yield Bonds - Obligations,1267.917300171815,0.006335555075370839,-0.01476803342088095,0.02,-0.03476803342088095,-44.08299106728691,0.0,-44.08299106728691,1223.834309104528,267642.94728594145,,,,,,,,,0
2029,NORMAL,Investment Grade Bonds - Obligations,765.1452722900352,0.003823293532311797,0.03380370682289091,0.02,0.01380370682289091,10.561841015612686,0.0,10.561841015612686,775.7071133056479,267642.94728594145,,,,,,,,,0
2029,NORMAL,Government ZC Bonds - Obligations,78133.93880452271,0.3904212620843869,0.04927103227675977,0.02,0.029271032276759767,2287.0610446575593,0.0,2287.0610446575593,80420.99984918027,267642.94728594145,,,,,,,,,0
2029,,,,,,,,,,,,,GOAL B,0.0,1866.8207504987552,700000.0,0.7779431173144048,0.75,-0.027943117314404797,FALSE,0
2030,ASK,Emerging Markets - Equities,33796.87,0.14411411401008797,0.3307442414919082,0.02,0.31074424149190816,10502.182732950627,1785.3710646016066,8716.81166834902,42513.681668349025,301499.78011761303,,,,,,,,,0
2030,NORMAL,Emerging Markets - Equities,124440.93,0.5306318121631197,0.3307442414919082,0.02,0.31074424149190816,38669.302403397625,10440.71164891736,28228.590754480265,152669.52075448027,301499.78011761303,,,,,,,,,0
2030,ASK,Developed Markets - Equities,59.97,0.0002557196396348234,0.1768487245107833,0.02,0.1568487245107833,9.406218008911665,1.5990570615149833,7.807160947396682,67.77716094739668,301499.78011761303,,,,,,,,,0
2030,NORMAL,Developed Markets - Equities,220.8,0.0009415190333728368,0.1768487245107833,0.02,0.1568487245107833,34.632198371980934,9.350693560434852,25.281504811546082,246.0815048115461,301499.78011761303,,,,,,,,,0
2030,NORMAL,Emerging Markets State - Obligations,73.97466976834838,0.00031543731691290836,0.2587185884085621,0.02,0.2387185884085621,17.65912874508966,4.767964761174208,12.891163983915451,86.86583375226382,301499.78011761303,,,,,,,,,0
2030,NORMAL,High Yield Bonds - Obligations,1171.0355583519977,0.0049934432379746055,0.1377389807841463,0.02,0.11773898078414628,137.87653310235783,37.226663937636616,100.64986916472121,1271.6854275167188,301499.78011761303,,,,,,,,,0
2030,NORMAL,Investment Grade Bonds - Obligations,854.9879275760695,0.0036457763003481243,0.05668467708241787,0.02,0.03668467708241786,31.36495603249375,8.468538128773313,22.89641790372044,877.88434547979,301499.78011761303,,,,,,,,,0
2030,NORMAL,Government ZC Bonds - Obligations,73896.08850071003,0.31510223648198415,0.0009439363905048292,0.02,-0.01905606360949517,-1408.1685629624117,-380.2055119998511,-1027.9630509625606,72868.12544974747,301499.78011761303,,,,,,,,,0
2031,ASK,Emerging Markets - Equities,37919.39,0.11960712699903649,-0.05060799245813452,0.02,-0.07060799245813452,-2677.412003137062,-455.1600405333006,-2222.2519626037615,35697.13803739624,339639.50230249116,,,,,,,,,0
2031,NORMAL,Emerging Markets - Equities,198923.39,0.627453531578669,-0.05060799245813452,0.02,-0.07060799245813452,-14045.58122086656,0.0,-14045.58122086656,184877.80877913345,339639.50230249116,,,,,,,,,0
2031,ASK,Developed Markets - Equities,220.33,0.0006949752696891408,0.01649426692513489,0.02,-0.003505733074865111,-0.7724181683850304,-0.13131108862545518,-0.6411070797595753,219.68889292024045,339639.50230249116,,,,,,,,,0
2031,NORMAL,Developed Markets - Equities,1155.83,0.0036457734578350634,0.01649426692513489,0.02,-0.003505733074865111,-4.052031459921409,0.0,-4.052031459921409,1151.7779685400785,339639.50230249116,,,,,,,,,0
2031,NORMAL,Emerging Markets State - Obligations,241.27052477424482,0.0007610268598149199,0.1419110201563138,0.02,0.12191102015631379,29.413535808877356,0.0,29.413535808877356,270.6840605831222,339639.50230249116,,,,,,,,,0
2031,NORMAL,High Yield Bonds - Obligations,1497.3460967348904,0.004722999625091057,0.1260093867181389,0.02,0.1060093867181389,158.73274141966476,0.0,158.73274141966476,1656.0788381545551,339639.50230249116,,,,,,,,,0
2031,NORMAL,Investment Grade Bonds - Obligations,833.4742131633899,0.0026289836430453016,0.1226407783654206,0.02,0.1026407783654206,85.5484419865968,0.0,85.5484419865968,919.0226551499867,339639.50230249116,,,,,,,,,0
2031,NORMAL,Government ZC Bonds - Obligations,76241.83235988312,0.24048558074662565,0.02920520741139421,0.02,0.00920520741139421,701.8218802974734,0.0,701.8218802974734,76943.6542401806,339639.50230249116,,,,,,,,,0
2032,ASK,Emerging Markets - Equities,42964.4,0.12257407431124014,0.09507218705858755,0.02,0.07507218705858755,3225.431473659977,548.3233505221962,2677.108123137781,45641.508123137784,382603.8993437562,,,,,,,,,0
2032,NORMAL,Emerging Markets - Equities,233944.7,0.6674259396737946,0.09507218705858755,0.02,0.07507218705858755,17562.74027976513,4741.9398755365855,12820.800404228545,246765.50040422854,382603.8993437562,,,,,,,,,0
2032,NORMAL,Investment Grade Bonds - Obligations,5.731979133915485e-14,1.6352888352008513e-19,0.06451410767230659,0.02,0.04451410767230658,2.5515393634252843e-15,6.889156281248268e-16,1.8626237353004574e-15,5.918241507445531e-14,382603.8993437562,,,,,,,,,0
2032,NORMAL,Government ZC Bonds - Obligations,73608.74679820144,0.21000000000000005,-0.05936102886310857,0.02,-0.07936102886310857,-5841.6658792293165,-1577.2497873919156,-4264.416091837401,69344.33070636404,382603.8993437562,,,,,,,,,0
2033,ASK,Emerging Markets - Equities,48099.42,0.11702253578368753,0.3812767555473906,0.02,0.3612767555473906,17377.202401311268,2954.124408222916,14423.077993088351,62522.49799308835,431003.2926107414,,,,,,,,,0
2033,NORMAL,Emerging Markets - Equities,283382.54,0.6894499648357976,0.3812767555473906,0.02,0.3612767555473906,102379.52462997864,32602.579656077145,69776.9449739015,353159.4849739015,431003.2926107414,,,,,,,,,0
2033,ASK,Developed Markets - Equities,299.97,0.0007298060986812887,0.1817153222552592,0.02,0.1617153222552592,48.50974521691012,8.24665668687472,40.2630885300354,340.23308853003545,431003.2926107414,,,,,,,,,0
2033,NORMAL,Developed Markets - Equities,1767.32,0.004299766357707154,0.1817153222552592,0.02,0.1617153222552592,285.8027233281648,91.0133748609125,194.7893484672523,1962.1093484672522,431003.2926107414,,,,,,,,,0
2033,NORMAL,Emerging Markets State - Obligations,457.1499656222,0.0011122139978098577,0.2706767498991247,0.02,0.2506767498991247,114.59686759866969,36.49317104885774,78.10369654981196,535.2536621720119,431003.2926107414,,,,,,,,,0
2033,NORMAL,High Yield Bonds - Obligations,37.96217276026128,9.235931993076432e-05,0.253968234932066,0.02,0.233968234932066,8.881942554904484,2.828438993964444,6.05350356094004,44.015676321201326,431003.2926107414,,,,,,,,,0
2033,NORMAL,Investment Grade Bonds - Obligations,2090.7532505789745,0.005086656909391819,0.1524206343068799,0.02,0.13242063430687992,276.8588716208387,88.16522100618307,188.69365061465567,2279.4469011936303,431003.2926107414,,,,,,,,,0
2033,NORMAL,Government ZC Bonds - Obligations,74891.85965755548,0.18220667373293048,-0.02490223434244654,0.02,-0.04490223434244654,-3362.811832685169,-1070.8815169807247,-2291.930315704444,72599.92934185104,431003.2926107414,,,,,,,,,0
2034,ASK,Emerging Markets - Equities,54395.61,0.10013602116316704,0.2810626799957949,0.02,0.26106267999579486,14200.663726606057,2414.11283352303,11786.550893083027,66182.16089308303,485525.20912600023,,,,,,,,,0
