Year,Gains ASK (gross),Tax ASK,Gains Normal (gross),Tax Normal,Net Gains,Post-Tax Wealth
2025,0.0,0.0,0.0,0.0,0.0,1.0
2026,0.026059583453388768,0.004430129187076091,0.02663904454539079,0.0071925420272555135,0.04107595678444795,52646.24107595679
2027,2634.6090543349274,447.8835392369376,1006.2255749598545,271.6809052391607,2921.2701848186834,109266.6368834468
2028,5307.624883398763,902.2962301777898,3221.0229524382285,869.6761971583218,6756.67540850088,231064.03248901916
