Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID
2038,Developed Markets - Equities,0.6119619221898627,61.2,353343.45584971755,0
2038,Emerging Markets State - Obligations,0.009719537116879163,0.97,5612.007397205626,0
2038,High Yield Bonds - Obligations,0.011728128645006986,1.17,6771.757123789035,0
2038,Investment Grade Bonds - Obligations,0.006367036872391802,0.64,3676.2921522354227,0
2038,Government ZC Bonds - Obligations,0.14084423394293477,14.08,81322.6878231527,0
2039,Emerging Markets - Equities,0.2176581756160969,21.77,128092.10685177878,0
2039,Developed Markets - Equities,0.6364400678672907,63.64,374545.7708962866,0
2039,Emerging Markets State - Obligations,0.006393202271458534,0.64,3762.407482111314,0
2039,High Yield Bonds - Obligations,0.0017789256465772778,0.18,1046.899953827852,0
2039,Investment Grade Bonds - Obligations,0.006567275842318703,0.66,3864.849994898058,0
2039,Government ZC Bonds - Obligations,0.131162352756258,13.12,77189.2076032948,0
2040,Emerging Markets - Equities,0.21424794112856838,21.42,143204.77057364755,0
2040,Developed Markets - Equities,0.6150295650475648,61.5,411089.9143053776,0
2040,Emerging Markets State - Obligations,0.004289689615641033,0.43,2867.257505505707,0
2040,High Yield Bonds - Obligations,0.0013349228399497318,0.13,892.2714403766685,0
2040,Investment Grade Bonds - Obligations,0.0059522220367627145,0.6,3978.5054021429482,0
2040,Government ZC Bonds - Obligations,0.1591456593315134,15.91,106374.03333871438,0
2041,Emerging Markets - Equities,0.2146435621304959,21.46,120954.69920628479,0
2041,Developed Markets - Equities,0.6234536145873786,62.35,351324.976500534,0
2041,Emerging Markets State - Obligations,0.007647414913795396,0.76,4309.427039984623,0
2041,High Yield Bonds - Obligations,0.005324322456873191,0.53,3000.3314092263945,0
2041,Investment Grade Bonds - Obligations,0.0012652625095112447,0.13,712.9934144583331,0
2041,Government ZC Bonds - Obligations,0.14766582340194573,14.77,83211.79109845334,0
2042,Emerging Markets - Equities,0.22130177773649365,22.13,148968.51393313086,0
2042,Developed Markets - Equities,0.6275963480894962,62.76,422464.2760713571,0
2042,Emerging Markets State - Obligations,0.010243156871733581,1.02,6895.145049322666,0
2042,High Yield Bonds - Obligations,0.011025541768125596,1.1,7421.804692689937,0
2042,Investment Grade Bonds - Obligations,0.004207156823250596,0.42,2832.032829801899,0
2042,Government ZC Bonds - Obligations,0.12562601871090048,12.56,84564.71299106271,0
2043,Emerging Markets - Equities,0.2273142327137183,22.73,159324.67466565126,0
2043,Developed Markets - Equities,0.6448078693276194,64.48,451946.20141475543,0
2043,Emerging Markets State - Obligations,0.004840791320128841,0.48,3392.9133824856667,0
2043,High Yield Bonds - Obligations,0.006601689276401863,0.66,4627.127759004459,0
2043,Investment Grade Bonds - Obligations,0.00031572200970261094,0.03,221.28973571138098,0
2043,Government ZC Bonds - Obligations,0.11611969535242907,11.61,81388.3603478551,0
2044,Emerging Markets - Equities,0.22179214748733134,22.18,196404.90198541584,0
2044,Developed Markets - Equities,0.6555468413953901,65.55,580510.2416372285,0
2044,Emerging Markets State - Obligations,0.0033145446975121505,0.33,2935.1482178977417,0
2044,High Yield Bonds - Obligations,0.0026440038545055998,0.26,2341.360250019203,0
2044,Investment Grade Bonds - Obligations,0.004899094371957578,0.49,4338.3237902802275,0
2044,Government ZC Bonds - Obligations,0.11180336819330336,11.18,99005.89277129108,0
2045,Emerging Markets - Equities,0.19974120339910084,19.97,191982.3354327194,0
2045,Developed Markets - Equities,0.4102092526520101,41.02,394274.83663892787,0
2045,Emerging Markets State - Obligations,0.0027166641625430824,0.27,2611.1364187051936,0
2045,High Yield Bonds - Obligations,0.006518553753886799,0.65,6265.3431140814955,0
2045,Investment Grade Bonds - Obligations,0.006331159771701143,0.63,6085.22837694258,0
