,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
1,-0.981237463,-0.988939484,-0.992231152,-0.99474121,-0.995376154,-0.996194591,-0.996803823,-0.997200875,-0.997170039,-0.997327444,-0.997173253,-0.997015849,-0.997349617,-0.997619787,-0.99758191,-0.9976133,-0.997575792,-0.997664462,-0.99741668,-0.997224258,-0.997218266,-0.997305323,-0.997471788,-0.9978239,-0.998139441,-0.998113618,-0.998123718,-0.997938495,-0.998013505,-0.997897154,-0.997494852,-0.997707595,-0.997812806,-0.997507008,-0.997412857,-0.997750556,-0.997794304,-0.998062137,-0.998203371,-0.998253632,-0.998291537,-0.9982744,-0.998033348,-0.998002804,-0.997669925,-0.99773574,-0.99743365,-0.997331344,-0.997649918,-0.997587361
2,0.23105024,0.130464038,0.047164264,0.207671109,0.048624861,0.091834778,-0.0318814,0.074742392,0.124969953,0.152603742,0.156205879,0.132392991,0.255414814,0.570047367,0.685481808,0.558783358,0.589365631,0.619326697,0.669232918,0.526269883,0.778749411,0.640629749,0.571025499,1.047546762,1.708229795,1.167816706,0.811461432,0.687081345,0.623012059,0.550701186,0.235666722,0.23690698,0.32240231,0.090559377,-0.098750261,0.191153309,0.160682733,0.334751459,0.634097855,0.644912643,0.611779329,0.481633907,0.445559475,0.570525602,0.423196459,0.445597849,0.279953761,0.267039726,0.583484603,0.675766585
3,-0.181171987,-0.345254559,-0.253613619,-0.159388016,-0.057939008,-0.006623449,0.157099087,0.061818809,0.063585545,0.196257215,0.116265567,-0.004701187,-0.044555132,-0.198776837,-0.308344267,-0.204427829,-0.161403053,-0.248910978,-0.340713578,-0.240408361,-0.384536059,-0.304581415,-0.253789934,-0.335459287,-0.377499473,-0.149629112,0.147947552,0.081358257,0.146197101,0.242049692,0.289951234,0.273376277,0.061711721,0.16125056,0.345557778,0.335524814,0.566666,0.686325887,0.548308066,0.483771775,0.472635001,0.469969273,0.390852498,0.374481069,0.16349098,-0.063370097,0.028647089,0.186038353,0.109252841,0.084531985
4,-0.040766617,0.158055401,0.235130625,0.020362888,0.098288939,-0.051076881,0.004553965,0.06459766,-0.064593214,-0.310501972,-0.248495213,-0.295612127,-0.297686143,-0.285960147,-0.339608289,-0.363682742,-0.395719726,-0.26409472,-0.307017167,-0.475427446,-0.500599022,-0.445908988,-0.477674967,-0.54573605,-0.545613389,-0.621575595,-0.627842361,-0.616927414,-0.612078357,-0.644259145,-0.6666072,-0.602479782,-0.475011223,-0.526808247,-0.538491877,-0.635726469,-0.654529418,-0.642612402,-0.650801527,-0.60773652,-0.559477608,-0.496683223,-0.498385036,-0.490138949,-0.385136292,-0.243542347,-0.508469884,-0.604824079,-0.605374274,-0.543074406
5,0.219225216,0.200288837,0.09183878,0.324501691,0.097197928,0.094161177,-0.017159843,-0.016691117,-0.157672466,-0.137554292,-0.175199169,-0.160746648,0.151490692,0.21112239,0.222337666,0.425720886,0.376170385,0.380582956,0.763821007,1.299895967,1.533184126,1.249509226,1.448290601,1.614069074,1.604479781,2.027972065,1.788779641,1.745233445,1.687046873,1.503507866,1.988118626,2.115234032,1.62944327,1.844750168,1.849291698,1.823881275,1.835478662,1.59489954,1.455738475,1.486698705,1.322250687,1.542341994,1.241623724,0.93706774,0.858889725,0.968435093,1.590903807,1.692954934,1.758149164,1.20186765
6,-0.068264954,-0.08005848,-0.047182896,-0.012022988,0.003043344,0.169099238,0.400487408,0.610152654,0.9960338,1.251081182,0.764490597,0.841071692,0.569624038,0.336015033,0.569430968,0.4204781,0.378406661,0.142630603,-0.127380397,-0.138196334,-0.145667314,-0.177636966,-0.260978733,-0.18409527,-0.263972593,-0.270412814,-0.302775974,-0.338296142,-0.327992073,-0.258583851,-0.335469181,-0.493579989,-0.470008289,-0.424095226,-0.343500143,-0.31874737,-0.303749232,-0.421308771,-0.373718119,-0.342315215,-0.329179352,-0.34282336,-0.333141391,-0.320078596,-0.363804956,-0.447140857,-0.394014756,-0.354171726,-0.483024072,-0.458615063
7,0.044619478,0.181855897,0.228265688,-0.008787149,0.101941934,0.04499607,0.025147368,-0.077007204,-0.005696443,0.020784346,0.221447948,0.2232018,0.131349361,0.17449907,0.062807585,0.138838231,0.052977064,0.002844609,0.100510632,-0.066046784,-0.089166263,-0.147459918,-0.022757113,-0.035284945,-0.053699095,-0.150428102,-0.183116449,-0.16978175,-0.140710715,-0.25963215,-0.32740346,-0.142803587,-0.112580191,-0.152539189,-0.182423737,-0.055803894,-0.15882416,-0.085777698,-0.178450285,-0.074307026,-0.023184179,0.023124127,0.156725023,0.2929702,0.391378893,0.705920515,0.597226912,0.610622001,1.054647923,1.2249867
8,0.040075185,-0.129338238,-0.157665269,-0.216681046,-0.142060007,-0.10254139,-0.231695736,-0.276991595,-0.443091555,-0.547088138,-0.514710483,-0.450343839,-0.408109659,-0.406604318,-0.360746453,-0.488166139,-0.498608804,-0.433256328,-0.355626502,-0.182959096,-0.241622784,-0.081973533,-0.209508155,-0.114934252,-0.049732585,-0.034546902,0.200706103,0.200282151,0.083783991,0.096310626,0.235688076,0.242581575,0.259475652,0.184192818,0.201022698,0.123524684,0.21276538,0.530258533,0.735858139,0.271404701,0.24385384,0.201415234,0.258685176,0.090229551,0.00587983,0.047451552,0.024462308,-0.061801462,-0.210748889,-0.292066948
9,-0.110051594,-0.141296319,-0.272276792,-0.21691395,-0.287755032,-0.252800793,-0.210939763,-0.168015348,0.034924152,0.263940607,0.100088972,0.001266897,-0.072479077,0.192936825,0.089498415,0.250481246,0.26720156,0.303137865,0.116482733,0.087740899,0.360171576,0.047676151,0.189981858,-0.104412552,-0.045006288,-0.014655726,-0.017170253,0.054831941,0.143557835,0.670533107,0.831576778,0.567371842,0.321541565,0.350535523,0.222729665,0.424879596,0.369605536,0.199411939,0.025076501,0.244874526,0.20962979,0.175594653,0.172261995,0.31338302,0.402657818,0.21841048,0.389099038,0.828834132,1.351840631,1.407960205
10,-0.157547379,0.146400099,0.297171151,0.495604501,0.417898659,0.274801093,0.410778099,0.400078908,0.45873967,0.624586416,0.602925153,0.706756925,0.916395157,0.476792898,0.706869115,0.419141245,0.65359173,0.433848544,0.541921231,0.338313342,0.198865554,0.543830548,0.553881036,0.729841654,0.713989469,0.612481554,0.365851561,0.593935879,0.577859375,0.281852224,0.229055535,0.342594306,0.836460728,1.140902387,1.362685162,1.091389224,1.056975439,1.344147558,1.694493661,1.231933485,1.347605446,1.022122321,0.873528732,1.175795539,1.137008688,1.317140615,1.3240661,0.979640425,0.786949139,0.710737589
