,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
1,-0.979958657,-0.988946185,-0.992396785,-0.994154939,-0.995233479,-0.995987551,-0.99639098,-0.996874289,-0.997111256,-0.997395616,-0.997507079,-0.997552412,-0.997780401,-0.997932653,-0.997920788,-0.998044813,-0.998005689,-0.998163592,-0.998066137,-0.998090498,-0.99814449,-0.998123199,-0.998097772,-0.998169201,-0.998213972,-0.998181925,-0.998273797,-0.998283229,-0.998357318,-0.998385736,-0.998336672,-0.998371667,-0.998358831,-0.998302638,-0.998225401,-0.998316141,-0.998235959,-0.998291225,-0.998354102,-0.998353935,-0.99836069,-0.998277197,-0.998296793,-0.998236264,-0.998240047,-0.998232022,-0.998213957,-0.998189817,-0.998213096,-0.99820545
2,0.032139262,-0.032694224,-0.024736064,-0.026872297,-0.042744172,-0.003860757,-0.065594161,-0.017815149,-0.007953722,0.003207935,-0.03742365,-0.085708466,-0.054386545,0.030766795,-0.03786259,-0.05264003,-0.076363956,-0.001591217,-0.043351979,-0.055173127,-0.057292245,-0.101844901,-0.135157919,-0.099813834,-0.071627309,-0.153983827,-0.175534171,-0.170149206,-0.110169763,-0.067783641,-0.098026161,-0.095586216,-0.134518451,-0.172403782,-0.195959199,-0.161806408,-0.232331943,-0.20753924,-0.139423363,-0.122033313,-0.147291244,-0.170763787,-0.129835752,-0.090440185,-0.125203428,-0.096388778,-0.120958067,-0.130930123,-0.165743247,-0.117129872
3,-0.062413664,-0.039766838,-0.038905389,-0.010011502,0.041548601,-0.02263969,0.041920979,0.012095948,-0.007561896,0.022007994,-0.008666235,-0.000319067,-0.004768082,-0.08642586,-0.09458103,-0.022434935,-0.022961216,-0.060894306,-0.059271104,-0.087812517,-0.114963674,-0.094854098,-0.116969871,-0.084672163,-0.107916518,0.006457914,0.124315317,0.115987951,0.077924345,0.027716379,0.014123921,-0.038434047,-0.048661085,-0.042567019,-0.085911525,-0.080555926,-0.073914998,-0.094858325,-0.144932158,-0.135197595,-0.106572257,-0.161234357,-0.178104034,-0.255038948,-0.26628247,-0.289747485,-0.268874215,-0.267865274,-0.22185611,-0.246269624
4,-0.005755101,-0.027976904,-0.019410791,-0.027683548,-0.047177884,-0.00548685,-0.053831539,-0.046435618,-0.042237717,-0.080376618,-0.005773217,-0.033278651,-0.047592194,-0.028495497,-0.01834997,-0.062895149,-0.053574171,-0.017700467,-0.059773949,-0.069259485,-0.108238452,-0.170765645,-0.130128131,-0.211945286,-0.197134555,-0.261039059,-0.312985867,-0.333716257,-0.294057349,-0.314657205,-0.335359554,-0.281946167,-0.284881078,-0.283356127,-0.288433351,-0.302920561,-0.272746656,-0.218022286,-0.234649899,-0.234242803,-0.231789938,-0.192874771,-0.278886112,-0.271308388,-0.216676189,-0.20197339,-0.245146668,-0.238303657,-0.242379354,-0.224126013
5,0.05031637,0.025197155,0.035255616,0.035038513,-0.006451008,-0.001372393,-0.030500489,-0.032700849,-0.09176576,-0.071732078,-0.07403511,-0.129554084,-0.061875914,-0.040176552,-0.0619681,-0.025821095,-0.031574169,-0.039469519,-0.020791159,0.065457121,0.162248295,0.265962874,0.264017821,0.340036009,0.34990497,0.413234504,0.478355347,0.528551877,0.354297554,0.361790787,0.45373625,0.408886744,0.38915005,0.404127635,0.41976299,0.361484623,0.426820856,0.381019594,0.382280737,0.388676274,0.379793735,0.40348516,0.510146589,0.493041146,0.467671506,0.398870859,0.424675088,0.450363305,0.498839231,0.426972923
6,-0.033154734,-0.046100364,-0.046580754,-0.029156943,-0.063010962,-0.087968535,0.002822819,0.027679969,0.097852705,-0.02415039,-0.07687969,-0.00531744,-0.029778873,-0.059918187,0.012152432,0.009100619,0.015267087,-0.027870425,-0.020865898,-0.079897343,-0.017557967,-0.042056633,-0.106689725,-0.132748727,-0.113975709,-0.126682961,-0.159552746,-0.152247992,-0.105253635,-0.046297519,-0.092724488,-0.08694342,-0.022554976,0.015801897,0.012592376,0.030833418,0.002023852,-0.053949527,-0.016567604,-0.047161087,-0.062195516,-0.030033059,-0.045536152,-0.058444963,-0.073705202,-0.090506232,-0.071464052,-0.07250804,-0.10402034,-0.100022638
7,0.013464486,0.074424377,0.060150258,-0.001246231,0.08790204,0.146205303,0.092797525,0.097989541,0.083188963,0.252113304,0.257414445,0.287123736,0.346302625,0.334915052,0.273518742,0.299658516,0.256793975,0.255876405,0.304392596,0.342286092,0.240528752,0.196864535,0.226341098,0.259159351,0.186083142,0.22629967,0.227129879,0.210899985,0.327893436,0.26509353,0.271359772,0.327556594,0.296859826,0.165103683,0.226556169,0.223470845,0.154052676,0.145441403,0.13697243,0.171052598,0.202537969,0.173802036,0.192022639,0.270091196,0.364791735,0.401761865,0.374530881,0.309618722,0.35167391,0.366088967
8,0.059748149,0.021111116,0.025300202,0.057494747,0.021381239,0.00225396,0.032325584,0.04310277,0.079183823,0.051832095,0.160278408,0.197055883,0.116055534,0.120701393,0.112504308,0.018865952,-0.044485005,-0.018624903,-0.045389136,-0.037687678,-0.021352157,0.094156423,0.068192544,0.060791324,0.088953245,0.041063272,0.093765189,0.1050919,-0.007295665,-0.020130476,-0.04002328,-0.072600813,-0.052045865,0.019902442,0.008085308,0.013367053,0.029860244,0.159223756,0.253777185,0.236121576,0.273275193,0.343176067,0.420090861,0.340962322,0.296765449,0.368743446,0.381694778,0.414454403,0.31510191,0.236631884
9,-0.092847893,-0.016269917,-0.035332264,-0.082094637,-0.090652636,-0.077955329,-0.096119247,-0.104757578,-0.119644245,-0.136804592,-0.228094427,-0.272354082,-0.196603581,-0.181475489,-0.221336575,-0.153923698,-0.099350002,-0.105083664,-0.109603669,-0.136503749,-0.123378224,-0.199190421,-0.168694166,-0.231659563,-0.261527904,-0.246678404,-0.263675995,-0.253687177,-0.257441197,-0.2447343,-0.198415128,-0.23862212,-0.277364863,-0.301189848,-0.332889481,-0.284769058,-0.239524495,-0.318500827,-0.362932351,-0.352420394,-0.35609923,-0.387146734,-0.403241476,-0.377623491,-0.34575214,-0.392142067,-0.39514467,-0.340988715,-0.293816162,-0.281326144
10,0.017903544,-0.002003817,0.033818269,0.08954052,0.053806634,-0.000615188,0.04487803,0.013991421,-0.007032366,0.029543179,0.037532935,0.088491705,0.032779394,0.026696253,0.145133877,0.094496742,0.079365115,0.148246849,0.135582513,0.133515095,0.097183164,0.132910293,0.101775498,0.199357531,0.13683854,0.181362872,0.197864566,0.192204279,0.256726795,0.27639432,0.235844527,0.263125616,0.318220466,0.298158944,0.372954085,0.384246072,0.291216545,0.391667949,0.380098022,0.388263199,0.315491399,0.246995974,0.184408567,0.229785187,0.120329509,0.221426542,0.161464169,0.044396295,-0.013513797,0.01039917
