Year,Goal A (%),Goal B (%),Goal C (%),Goal D (%),Path_ID
2025,1.0,34.0,25.0,40.0,0
2026,45.09803921568628,0.9803921568627451,52.94117647058824,0.9803921568627451,0
2027,33.0,1.0,65.0,1.0,0
2028,51.48514851485149,0.9900990099009901,43.56435643564357,3.9603960396039604,0
2029,53.92156862745098,0.9803921568627451,30.392156862745097,14.705882352941178,0
2030,66.0,1.0,27.0,6.0,0
2031,66.33663366336634,0.9900990099009901,21.782178217821784,10.891089108910892,0
2032,71.28712871287128,0.9900990099009901,15.841584158415841,11.881188118811881,0
2033,73.26732673267327,0.9900990099009901,11.881188118811881,13.861386138613863,0
2034,74.0,1.0,10.0,15.0,0
2035,79.0,0.0,11.0,10.0,0
2036,90.0,0.0,9.0,1.0,0
2037,84.0,0.0,7.000000000000001,9.0,0
2038,93.06930693069307,0.0,5.9405940594059405,0.9900990099009901,0
2039,73.26732673267327,0.0,6.9306930693069315,19.801980198019802,0
2040,80.0,0.0,7.000000000000001,13.0,0
2041,85.85858585858585,0.0,5.05050505050505,9.090909090909092,0
2042,79.7979797979798,0.0,4.040404040404041,16.161616161616163,0
2043,58.58585858585859,0.0,4.040404040404041,37.37373737373738,0
2044,63.366336633663366,0.0,3.9603960396039604,32.67326732673268,0
2045,62.0,0.0,0.0,38.0,0
2046,64.64646464646465,0.0,0.0,35.35353535353536,0
2047,64.64646464646465,0.0,0.0,35.35353535353536,0
2048,62.244897959183675,0.0,0.0,37.755102040816325,0
2049,98.95833333333334,0.0,0.0,1.0416666666666665,0
2050,95.91836734693877,0.0,0.0,4.081632653061225,0
2051,98.95833333333334,0.0,0.0,1.0416666666666665,0
2052,97.95918367346938,0.0,0.0,2.0408163265306123,0
2053,97.9381443298969,0.0,0.0,2.0618556701030926,0
2054,94.89795918367348,0.0,0.0,5.1020408163265305,0
2055,100.0,0.0,0.0,0.0,0
2056,100.0,0.0,0.0,0.0,0
2057,100.0,0.0,0.0,0.0,0
2058,100.0,0.0,0.0,0.0,0
2059,100.0,0.0,0.0,0.0,0
2060,100.0,0.0,0.0,0.0,0
2061,100.0,0.0,0.0,0.0,0
2062,100.0,0.0,0.0,0.0,0
2063,100.0,0.0,0.0,0.0,0
2064,100.0,0.0,0.0,0.0,0
2065,100.0,0.0,0.0,0.0,0
2066,100.0,0.0,0.0,0.0,0
2067,100.0,0.0,0.0,0.0,0
2068,100.0,0.0,0.0,0.0,0
2069,100.0,0.0,0.0,0.0,0
2070,100.0,0.0,0.0,0.0,0
2071,100.0,0.0,0.0,0.0,0
2072,100.0,0.0,0.0,0.0,0
2073,100.0,0.0,0.0,0.0,0
2074,100.0,0.0,0.0,0.0,0
2075,0.0,0.0,0.0,0.0,0
2025,34.34343434343434,8.080808080808081,17.17171717171717,40.4040404040404,1
2026,46.07843137254902,0.9803921568627451,50.98039215686274,1.9607843137254901,1
2027,39.0,1.0,57.99999999999999,2.0,1
2028,55.44554455445545,0.9900990099009901,37.62376237623762,5.9405940594059405,1
2029,61.386138613861384,0.9900990099009901,26.732673267326735,10.891089108910892,1
2030,68.0,1.0,24.0,7.000000000000001,1
2031,69.3069306930693,0.9900990099009901,22.772277227722775,6.9306930693069315,1
2032,70.29702970297029,0.9900990099009901,17.82178217821782,10.891089108910892,1
2033,71.0,1.0,13.0,15.0,1
2034,72.0,1.0,13.0,14.000000000000002,1
2035,81.0,0.0,12.0,7.000000000000001,1
2036,83.83838383838383,0.0,10.1010101010101,6.0606060606060606,1
2037,90.0,0.0,9.0,1.0,1
2038,89.0,0.0,10.0,1.0,1
2039,89.8989898989899,0.0,8.080808080808081,2.0202020202020203,1
2040,91.83673469387756,0.0,7.142857142857142,1.0204081632653061,1
2041,92.92929292929293,0.0,6.0606060606060606,1.0101010101010102,1
2042,88.77551020408163,0.0,6.122448979591836,5.1020408163265305,1
2043,90.81632653061224,0.0,7.142857142857142,2.0408163265306123,1
2044,81.0,0.0,6.0,13.0,1
2045,98.96907216494846,0.0,0.0,1.0309278350515463,1
2046,96.96969696969697,0.0,0.0,3.0303030303030303,1
2047,98.96907216494846,0.0,0.0,1.0309278350515463,1
2048,96.84210526315789,0.0,0.0,3.1578947368421053,1
2049,97.9381443298969,0.0,0.0,2.0618556701030926,1
2050,95.95959595959596,0.0,0.0,4.040404040404041,1
2051,98.93617021276596,0.0,0.0,1.0638297872340425,1
2052,98.96907216494846,0.0,0.0,1.0309278350515463,1
2053,98.9795918367347,0.0,0.0,1.0204081632653061,1
2054,96.96969696969697,0.0,0.0,3.0303030303030303,1
2055,100.0,0.0,0.0,0.0,1
2056,100.0,0.0,0.0,0.0,1
2057,100.0,0.0,0.0,0.0,1
2058,100.0,0.0,0.0,0.0,1
2059,100.0,0.0,0.0,0.0,1
2060,100.0,0.0,0.0,0.0,1
2061,100.0,0.0,0.0,0.0,1
2062,100.0,0.0,0.0,0.0,1
2063,100.0,0.0,0.0,0.0,1
2064,100.0,0.0,0.0,0.0,1
2065,100.0,0.0,0.0,0.0,1
2066,100.0,0.0,0.0,0.0,1
2067,100.0,0.0,0.0,0.0,1
2068,100.0,0.0,0.0,0.0,1
2069,100.0,0.0,0.0,0.0,1
2070,100.0,0.0,0.0,0.0,1
2071,100.0,0.0,0.0,0.0,1
2072,100.0,0.0,0.0,0.0,1
2073,100.0,0.0,0.0,0.0,1
2074,100.0,0.0,0.0,0.0,1
2075,0.0,0.0,0.0,0.0,1
2025,28.71287128712871,33.663366336633665,29.7029702970297,7.920792079207921,2
2026,46.07843137254902,0.9803921568627451,51.9607843137255,0.9803921568627451,2
2027,43.13725490196079,0.9803921568627451,54.90196078431373,0.9803921568627451,2
2028,52.94117647058824,0.9803921568627451,37.254901960784316,8.823529411764707,2
2029,62.0,1.0,28.999999999999996,8.0,2
2030,67.32673267326733,0.9900990099009901,22.772277227722775,8.91089108910891,2
2031,66.33663366336634,0.9900990099009901,18.81188118811881,13.861386138613863,2
2032,71.0,1.0,14.000000000000002,14.000000000000002,2
2033,72.0,1.0,13.0,14.000000000000002,2
2034,67.32673267326733,0.9900990099009901,12.871287128712872,18.81188118811881,2
2035,71.0,0.0,10.0,19.0,2
2036,85.85858585858585,0.0,8.080808080808081,6.0606060606060606,2
2037,84.0,0.0,8.0,8.0,2
2038,87.0,0.0,8.0,5.0,2
2039,76.0,0.0,9.0,15.0,2
2040,78.0,0.0,6.0,16.0,2
2041,79.7979797979798,0.0,6.0606060606060606,14.14141414141414,2
2042,91.83673469387756,0.0,7.142857142857142,1.0204081632653061,2
2043,90.9090909090909,0.0,6.0606060606060606,3.0303030303030303,2
2044,91.83673469387756,0.0,6.122448979591836,2.0408163265306123,2
2045,98.9795918367347,0.0,0.0,1.0204081632653061,2
2046,98.95833333333334,0.0,0.0,1.0416666666666665,2
2047,98.95833333333334,0.0,0.0,1.0416666666666665,2
2048,96.93877551020408,0.0,0.0,3.061224489795918,2
2049,98.96907216494846,0.0,0.0,1.0309278350515463,2
2050,66.3265306122449,0.0,0.0,33.6734693877551,2
2051,98.93617021276596,0.0,0.0,1.0638297872340425,2
2052,69.0721649484536,0.0,0.0,30.927835051546392,2
2053,98.9795918367347,0.0,0.0,1.0204081632653061,2
2054,71.71717171717171,0.0,0.0,28.28282828282828,2
2055,100.0,0.0,0.0,0.0,2
2056,100.0,0.0,0.0,0.0,2
2057,100.0,0.0,0.0,0.0,2
2058,100.0,0.0,0.0,0.0,2
2059,100.0,0.0,0.0,0.0,2
2060,100.0,0.0,0.0,0.0,2
2061,100.0,0.0,0.0,0.0,2
2062,100.0,0.0,0.0,0.0,2
2063,100.0,0.0,0.0,0.0,2
2064,100.0,0.0,0.0,0.0,2
2065,100.0,0.0,0.0,0.0,2
