Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,ASK_Cap,ASK_Return,ASK_Return_MAX,ASK_Cap_Full,Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed,Path_ID
2026,ASK,Emerging Markets - Equities,55722.13,0.9845992672799656,-0.008396347261878101,0.02,-0.0283963472618781,-1582.3049536515173,-268.99184212075795,-1313.3131115307592,54408.816888469235,166200.0,-1297.467528763409,0.0,166200.0,,,,,,,,,0
2026,ASK,Developed Markets - Equities,125.42,0.0022161471591673415,0.1722170592817756,0.02,0.15221705928177562,19.091063575120288,3.245480807770449,15.845582767349839,141.26558276734983,166200.0,-1297.467528763409,0.0,166200.0,,,,,,,,,0
2026,NORMAL,Emerging Markets State - Obligations,3.147592142017071,5.561734479148923e-05,0.08431349281850431,0.02,0.0643134928185043,0.20243264462119548,0.05465681404772278,0.1477758305734727,3.295367972590544,166200.0,-1297.467528763409,0.0,166200.0,,,,,,,,,0
2026,NORMAL,High Yield Bonds - Obligations,226.4062880741851,0.004000555351086175,0.1770499378263515,0.02,0.15704993782635152,35.55709346554579,9.600415235697366,25.956678229848425,252.36296630403353,166200.0,-1297.467528763409,0.0,166200.0,,,,,,,,,0
2026,NORMAL,Investment Grade Bonds - Obligations,290.0244785304969,0.005124676480500322,0.1463857435766058,0.02,0.1263857435766058,36.65495937449418,9.89683903111343,26.758120343380753,316.78259887387765,166200.0,-1297.467528763409,0.0,166200.0,,,,,,,,,0
2026,NORMAL,Government ZC Bonds - Obligations,226.59470912247522,0.0040038847145919595,0.0658764146533779,0.02,0.0458764146533779,10.39535283396421,2.806745265170337,7.588607568793874,234.18331669126908,166200.0,-1297.467528763409,0.0,166200.0,,,,,,,,,0
2027,ASK,Emerging Markets - Equities,37786.02,0.33580367394786725,-0.1297522207138511,0.02,-0.14975222071385108,-5658.540406937991,-961.9518691794585,-4696.588537758533,33089.43146224147,166200.0,-4694.623638347148,0.0,166200.0,,,,,,,,,0
2027,ASK,Developed Markets - Equities,84.78,0.0007534383212971408,0.04792343345609695,0.02,0.027923433456096953,2.367348688407901,0.40244927702934324,1.9648994113785578,86.74489941137855,166200.0,-4694.623638347148,0.0,166200.0,,,,,,,,,0
2027,NORMAL,Emerging Markets State - Obligations,474.58977339128853,0.004217670702627069,0.03780195170020617,0.02,0.01780195170020617,8.44862422332352,0.0,8.44862422332352,483.03839761461205,166200.0,-4694.623638347148,0.0,166200.0,,,,,,,,,0
2027,NORMAL,High Yield Bonds - Obligations,137.2314523170826,0.0012195734260786902,0.07761449330524961,0.02,0.057614493305249606,7.9065205907922405,0.0,7.9065205907922405,145.13797290787485,166200.0,-4694.623638347148,0.0,166200.0,,,,,,,,,0
2027,NORMAL,Investment Grade Bonds - Obligations,294.5733090722387,0.0026178676514075415,0.06803395446682559,0.02,0.04803395446682558,14.149520915118046,0.0,14.149520915118046,308.72282998735676,166200.0,-4694.623638347148,0.0,166200.0,,,,,,,,,0
2027,NORMAL,Government ZC Bonds - Obligations,73746.94580430601,0.6553877689028963,0.001507227753688722,0.02,-0.018492772246311278,-1363.7854726200894,0.0,-1363.7854726200894,72383.16033168593,166200.0,-4694.623638347148,0.0,166200.0,,,,,,,,,0
2028,ASK,Emerging Markets - Equities,92704.4,0.5565794216949169,0.08585297519806456,0.02,0.06585297519806456,6104.860553951454,1037.8262941717471,5067.034259779706,97771.43425977971,166200.0,5073.000878031264,6112.04925064008,172312.0492506401,,,,,,,,,0
2028,ASK,Developed Markets - Equities,264.63,0.0015887877205734125,0.04716508592610769,0.02,0.027165085926107693,7.188696688625896,1.2220784370664024,5.966618251559494,270.5966182515595,166200.0,5073.000878031264,6112.04925064008,172312.0492506401,,,,,,,,,0
2028,NORMAL,Emerging Markets State - Obligations,213.611459572513,0.0012824821975685773,0.2209710829144969,0.02,0.20097108291449692,42.92972635323417,11.591026115373229,31.338700237860944,244.95015981037395,166200.0,5073.000878031264,6112.04925064008,172312.0492506401,,,,,,,,,0
2028,NORMAL,High Yield Bonds - Obligations,375.72555198660893,0.0022557840883572974,0.05954528003938209,0.02,0.03954528003938208,14.858172171261856,4.011706486240701,10.846465685021155,386.5720176716301,166200.0,5073.000878031264,6112.04925064008,172312.0492506401,,,,,,,,,0
2028,NORMAL,Investment Grade Bonds - Obligations,385.32198595525745,0.002313399235735457,0.1345667162606472,0.02,0.1145667162606472,44.14507463392505,11.919170151159765,32.22590448276529,417.5478904380227,166200.0,5073.000878031264,6112.04925064008,172312.0492506401,,,,,,,,,0
2028,NORMAL,Government ZC Bonds - Obligations,72617.26649456541,0.43598012813427284,0.1121423988103456,0.02,0.0921423988103456,6691.129129859386,1806.6048650620344,4884.524264797352,77501.79075936276,166200.0,5073.000878031264,6112.04925064008,172312.0492506401,,,,,,,,,0
