Year,Final Wealth,Path_ID
2025,0.0,0
2026,55356.70672107836,0
2027,106496.23589384861,0
2028,176592.89170531405,0
2029,214436.0897685116,0
2030,296640.1697490885,0
2031,403125.6150662399,0
2032,542676.1827754165,0
2033,661434.3235572961,0
2034,735427.9293235812,0
2035,890811.7601366176,0
2036,1155050.694196664,0
2037,1142380.7407826409,0
2038,1369354.6533104721,0
2039,1301033.326107876,0
2040,1541540.9777417134,0
2041,1898960.8713002028,0
2042,2001477.8765817413,0
2043,2257387.2893643985,0
2044,1985297.040466649,0
2045,2114283.479506679,0
2046,2156473.831164903,0
2047,2031143.925056221,0
2048,2016821.0885270045,0
2049,1853834.6783063102,0
2050,1943772.6323863475,0
2051,1596904.7057199029,0
2052,1442933.1314026904,0
2053,1796499.1038984978,0
2054,1423388.4840069222,0
2055,1002468.7533445965,0
2056,1101215.9883030297,0
2057,1105657.3040047681,0
2058,1215378.7453167497,0
2059,1553445.439020412,0
2060,1676744.5611504775,0
2061,1334951.8495418865,0
2062,1645194.8485625032,0
2063,1763965.1507100156,0
2064,2325079.085365028,0
2065,2657202.2564629726,0
2066,3107088.6606142097,0
2067,2615661.3168930504,0
2068,2527257.7287458996,0
2069,2571810.6673128973,0
2070,2912889.952074798,0
2071,3145512.593259289,0
2072,4349063.064050235,0
2073,4314725.425431183,0
2074,1184688.5043495246,0
2075,,0
2025,0.0,1
2026,69354.958641047,1
2027,134661.94662185648,1
2028,209140.21545654448,1
2029,248587.72860157088,1
2030,258501.89352226804,1
2031,366621.5359308823,1
2032,520911.2436611285,1
2033,520197.8220254216,1
2034,603579.8536046925,1
2035,684169.2617567152,1
2036,767062.1095137737,1
2037,802629.9044076073,1
2038,853684.765450893,1
2039,992097.7060670946,1
2040,1178778.492045179,1
2041,1284166.372171228,1
2042,1221796.6412243233,1
2043,1525937.8247374822,1
2044,1509540.0696247055,1
2045,1712184.203602725,1
2046,1462393.5802659236,1
2047,1583350.7045504106,1
2048,1724313.6864984026,1
2049,1547280.2066865577,1
2050,1830855.5265375127,1
2051,1723960.9709855085,1
2052,1998270.0537160758,1
2053,1560172.7049985644,1
2054,1751715.8244101247,1
2055,1904402.408865658,1
2056,1778901.6598306848,1
2057,1674029.4651336998,1
2058,1999155.9418178145,1
2059,2280946.378738756,1
2060,2559789.975242579,1
2061,3052062.3334592897,1
2062,3182673.123833637,1
2063,3240980.444189063,1
2064,3409947.3210677877,1
2065,3583522.13551825,1
2066,3653276.2104308116,1
2067,3662986.438725666,1
2068,3807347.9831049372,1
2069,4095808.3135595694,1
2070,4445273.420783919,1
2071,4651408.789200311,1
2072,4898179.004980481,1
2073,5015895.2700513,1
2074,1638808.393686594,1
2075,,1
2025,0.0,2
2026,75832.60663925592,2
2027,131602.90429706394,2
2028,195413.821329388,2
2029,283824.97129422246,2
2030,346700.55256347876,2
2031,471510.49983498245,2
2032,519614.5651201429,2
2033,533363.2337137411,2
2034,676613.6592115399,2
2035,871035.3446478526,2
2036,965042.9084148781,2
2037,916978.894442759,2
2038,1034269.5333685875,2
2039,1151419.8384466914,2
2040,1298136.2431010767,2
2041,1496932.1035908381,2
2042,1335667.1125416032,2
2043,1381118.8162143456,2
2044,1635711.5431614034,2
2045,1438367.0354960437,2
2046,1628218.4283868214,2
2047,1807841.375846485,2
2048,2064381.644325022,2
2049,2208371.0676812297,2
2050,2095310.38950466,2
2051,2544560.283053237,2
2052,2311835.6130948197,2
2053,2687374.9217118924,2
2054,2056594.3680076078,2
2055,2041639.3862240717,2
2056,2090430.3659773455,2
2057,2463551.630854492,2
2058,2733701.0869822907,2
2059,2292500.461148758,2
2060,2433858.1610731767,2
2061,2642976.8676606235,2
2062,2825947.483040696,2
2063,2848909.4843370793,2
2064,3067787.5173372617,2
2065,2994041.2684678766,2
2066,2715563.134221271,2
2067,2913361.5112192933,2
2068,2856025.6256177644,2
2069,2782474.508661916,2
2070,2916423.4661330325,2
2071,2519227.3054984775,2
2072,2790109.7443570844,2
2073,2799773.6308283885,2
2074,0.0,2
2075,,2
